Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1643.300,7.418,2.029,5.987,7.145,8.401,9.531,10.267,12.144,213.676,0.135
10,1758.900,7.039,1.910,5.704,6.895,8.164,9.307,10.118,11.984,23.657,0.142
20,1784.300,6.997,2.027,5.650,6.819,8.047,9.182,9.956,11.986,42.728,0.143
30,1822.300,6.870,2.170,5.585,6.755,7.942,9.072,9.875,11.408,17.840,0.146
40,1817.700,6.858,1.872,5.577,6.723,7.958,9.077,9.820,11.471,20.860,0.146
50,1742.900,7.112,1.885,5.675,6.896,8.188,9.531,10.544,13.609,19.848,0.141
60,1528.600,7.962,1.862,6.175,7.509,8.992,10.915,12.935,17.721,51.816,0.126
70,1749.300,7.029,1.917,5.749,6.892,8.108,9.269,10.046,11.736,18.504,0.142
80,1774.700,7.086,2.176,5.746,6.939,8.181,9.397,10.201,12.193,21.778,0.141
90,1790.800,7.004,1.968,5.656,6.839,8.085,9.298,10.109,11.933,45.833,0.143
100,1756.800,7.101,1.917,5.666,6.864,8.128,9.341,10.128,12.111,136.057,0.141
110,1795.200,6.939,1.921,5.658,6.822,8.029,9.148,9.889,11.481,25.418,0.144
120,1767.200,7.113,2.003,5.701,6.871,8.205,9.489,10.459,13.517,35.964,0.141
130,1807.400,6.961,1.967,5.629,6.798,8.049,9.246,10.039,11.945,25.232,0.144
140,1582.500,7.642,2.021,5.700,6.923,8.219,9.505,10.506,19.579,209.074,0.131
150,1783.800,7.030,1.961,5.691,6.877,8.093,9.265,10.069,12.082,36.424,0.142
160,1732.900,7.181,2.004,5.779,7.022,8.338,9.620,10.480,12.569,18.228,0.139
170,1752.300,7.124,1.916,5.784,6.967,8.240,9.449,10.233,12.121,21.796,0.140
180,1680.600,7.475,1.811,5.840,7.146,8.542,10.155,11.560,15.968,31.963,0.134
190,1728.300,7.236,1.862,5.836,7.054,8.373,9.683,10.508,12.692,20.900,0.138
200,1755.000,7.104,1.954,5.739,6.941,8.224,9.432,10.264,12.376,23.286,0.141
210,1756.300,7.129,1.925,5.737,6.970,8.278,9.497,10.380,12.374,19.113,0.140
220,1772.000,7.063,1.918,5.714,6.919,8.190,9.387,10.239,12.063,21.983,0.142
230,1490.100,8.155,1.924,6.408,7.804,9.306,11.177,12.796,17.157,27.643,0.123
240,1600.200,7.717,2.121,6.153,7.406,8.826,10.384,11.683,15.454,26.582,0.130
250,1657.300,7.454,1.927,5.966,7.217,8.537,9.930,11.006,14.379,35.804,0.134
260,1724.300,7.262,1.904,5.863,7.098,8.424,9.625,10.522,12.645,26.782,0.138
270,1724.500,7.256,1.940,5.897,7.094,8.391,9.641,10.490,12.449,25.181,0.138
280,1688.400,7.365,2.010,5.964,7.192,8.500,9.724,10.566,12.896,23.310,0.136
290,1737.100,7.180,1.917,5.751,6.933,8.208,9.463,10.358,12.991,88.808,0.139
300,1710.400,7.300,1.990,5.815,7.061,8.349,9.761,10.909,14.668,26.747,0.137
310,1765.600,7.102,1.974,5.729,6.875,8.123,9.318,10.096,11.777,111.704,0.141
320,1770.900,7.030,1.962,5.689,6.876,8.132,9.280,10.004,11.712,47.890,0.142
330,1759.900,7.049,1.954,5.710,6.895,8.148,9.300,10.076,11.712,76.720,0.142
340,1784.600,6.968,1.901,5.671,6.833,8.078,9.220,9.969,11.660,15.996,0.144
350,1797.100,6.968,1.911,5.652,6.833,8.075,9.241,10.013,11.725,18.398,0.144
360,1790.500,6.945,1.882,5.638,6.816,8.058,9.217,10.076,11.795,17.799,0.144
370,1751.200,7.120,1.867,5.713,6.905,8.188,9.454,10.444,13.679,25.029,0.140
380,1748.500,7.098,1.905,5.718,6.924,8.193,9.448,10.376,12.829,20.956,0.141
390,1544.100,7.777,1.976,6.224,7.445,8.819,10.370,11.631,15.535,83.946,0.129
400,1669.200,7.364,2.009,5.972,7.177,8.496,9.819,10.684,12.986,21.995,0.136
410,1662.500,7.460,1.960,5.986,7.252,8.595,9.920,10.938,13.571,42.069,0.134
420,1596.600,7.903,2.095,6.211,7.557,9.019,10.727,12.260,16.764,31.383,0.127
430,1693.800,7.394,1.938,5.931,7.187,8.505,9.914,10.928,13.540,22.709,0.135
440,1776.800,7.050,1.890,5.700,6.886,8.155,9.311,10.183,12.188,23.690,0.142
450,1800.000,6.942,2.094,5.643,6.829,8.071,9.172,9.939,11.530,16.425,0.144
460,1801.200,6.961,1.907,5.640,6.800,8.073,9.248,9.995,11.803,23.025,0.144
470,1743.400,7.132,1.937,5.690,6.928,8.157,9.382,10.242,12.271,85.760,0.140
480,1765.200,7.126,1.966,5.695,6.916,8.221,9.505,10.493,13.454,26.631,0.140
490,1801.200,6.936,1.956,5.642,6.825,8.036,9.152,9.862,11.492,17.351,0.144
500,1788.900,6.965,1.996,5.615,6.825,8.034,9.236,10.020,11.847,43.312,0.144
510,1759.600,7.069,2.106,5.734,6.932,8.188,9.397,10.208,12.022,22.651,0.141
520,1714.000,7.303,2.059,5.803,7.045,8.340,9.607,10.461,12.441,180.232,0.137
530,1698.100,7.401,2.001,5.957,7.200,8.565,9.917,10.842,13.073,19.237,0.135
540,1699.200,7.376,1.823,5.775,7.041,8.481,10.025,11.364,15.986,28.799,0.136
550,1589.300,7.703,2.034,6.102,7.375,8.802,10.462,11.836,15.945,25.560,0.130
560,1657.500,7.359,2.019,5.908,7.118,8.420,9.758,10.916,14.098,42.629,0.136
570,1770.000,7.045,1.939,5.714,6.887,8.141,9.383,10.249,12.247,17.000,0.142
580,1767.300,7.027,1.872,5.701,6.897,8.149,9.335,10.147,11.918,18.379,0.142
590,1790.300,6.972,1.719,5.636,6.835,8.089,9.257,10.029,11.895,20.427,0.143
600,1760.900,7.107,2.060,5.700,6.902,8.186,9.469,10.442,13.374,27.794,0.141
610,1747.900,7.150,1.946,5.813,6.998,8.277,9.492,10.314,12.055,22.720,0.140
620,1725.100,7.243,2.059,5.874,7.072,8.381,9.617,10.466,12.569,20.589,0.138
630,1678.100,7.426,2.050,6.013,7.259,8.615,9.925,10.779,12.774,19.612,0.135
640,1725.100,7.262,1.900,5.892,7.123,8.407,9.672,10.468,12.217,18.120,0.138
650,1773.600,7.044,1.884,5.689,6.862,8.094,9.225,10.055,11.890,69.724,0.142
660,1721.400,7.296,2.011,5.787,7.038,8.373,9.791,10.854,14.709,26.545,0.137
670,1721.200,7.213,1.971,5.804,7.016,8.326,9.587,10.540,13.086,26.617,0.139
680,1794.300,6.957,2.059,5.651,6.791,8.033,9.229,10.081,12.137,18.624,0.144
690,1790.300,6.972,2.048,5.672,6.833,8.063,9.278,10.033,11.736,16.329,0.143
700,1821.800,6.883,1.896,5.583,6.747,7.991,9.129,9.832,11.432,19.816,0.145
710,1798.400,6.958,1.879,5.646,6.827,8.079,9.255,9.959,11.596,17.401,0.144
720,1548.100,7.761,1.831,6.238,7.498,8.881,10.449,11.872,15.014,25.550,0.129
730,1615.600,7.550,2.048,6.019,7.200,8.509,9.929,11.105,15.192,108.116,0.132
740,1649.400,7.488,2.104,5.959,7.194,8.582,10.069,11.352,14.691,27.201,0.134
750,1709.900,7.238,2.019,5.875,7.035,8.343,9.578,10.466,13.126,21.365,0.138
760,1694.600,7.253,1.931,5.819,7.059,8.377,9.625,10.581,13.420,23.254,0.138
770,1660.600,7.445,2.218,6.054,7.270,8.604,9.871,10.813,12.933,22.220,0.134
780,1713.500,7.375,2.013,5.855,7.082,8.424,9.902,11.201,15.212,29.631,0.136
790,1700.300,7.339,2.116,5.821,7.061,8.397,9.864,11.130,15.166,30.717,0.136
800,1741.700,7.010,2.027,5.691,6.858,8.105,9.307,10.079,11.849,18.589,0.143
810,1752.100,6.991,2.044,5.695,6.867,8.079,9.219,9.960,11.672,19.765,0.143
820,1498.800,7.880,1.885,6.313,7.598,9.065,10.693,11.960,14.946,25.588,0.127
830,1574.700,7.602,1.976,6.082,7.310,8.676,10.264,11.597,14.743,24.461,0.132
840,1601.700,7.751,1.898,6.012,7.340,8.824,10.636,12.381,16.879,53.679,0.129
850,1703.000,7.297,1.923,5.875,7.097,8.416,9.745,10.699,13.225,25.940,0.137
860,1768.200,7.075,2.114,5.764,6.955,8.175,9.359,10.113,11.745,18.063,0.141
870,1767.500,7.054,1.878,5.743,6.933,8.164,9.309,10.056,11.769,17.257,0.142
880,1760.300,7.089,2.053,5.774,6.959,8.200,9.385,10.172,11.745,18.588,0.141
890,1805.900,6.986,2.058,5.691,6.854,8.093,9.246,9.991,11.588,18.581,0.143
900,1744.000,7.247,1.863,5.786,7.008,8.293,9.680,10.759,14.494,26.091,0.138
910,1772.800,7.084,1.972,5.723,6.917,8.189,9.419,10.201,12.220,22.207,0.141
920,1673.900,7.430,2.067,5.947,7.189,8.628,10.023,11.016,13.696,25.333,0.135
930,1708.400,7.277,2.291,5.884,7.118,8.427,9.737,10.541,12.499,21.093,0.137
940,1758.900,7.080,1.922,5.719,6.924,8.192,9.461,10.255,12.117,23.764,0.141
950,1525.200,7.965,1.864,6.300,7.621,9.077,10.752,12.081,15.934,62.919,0.126
960,1625.800,7.576,1.792,5.992,7.259,8.668,10.347,11.720,15.334,24.998,0.132
970,1720.400,7.221,1.938,5.797,7.020,8.331,9.666,10.635,13.243,24.302,0.138
980,1729.900,7.127,1.819,5.737,6.944,8.238,9.518,10.452,12.481,29.597,0.140
990,1772.100,7.017,2.033,5.655,6.838,8.104,9.343,10.241,12.530,20.085,0.143
1000,1746.700,7.076,1.991,5.738,6.916,8.162,9.352,10.218,12.396,18.509,0.141
1010,1721.700,7.154,1.817,5.814,6.992,8.279,9.436,10.224,12.201,38.687,0.140
1020,1684.500,7.433,2.102,5.855,7.123,8.458,9.928,11.314,16.297,28.196,0.135
1030,1704.900,7.281,2.170,5.844,7.072,8.366,9.688,10.712,13.894,28.660,0.137
1040,1689.200,7.320,1.945,5.845,7.054,8.306,9.556,10.367,12.560,148.430,0.137
1050,1577.300,7.798,2.013,5.954,7.214,8.603,9.970,10.930,14.085,177.222,0.128
1060,1675.500,7.447,2.052,5.886,7.102,8.418,9.740,10.670,13.359,163.761,0.134
1070,1750.000,7.174,1.853,5.827,7.020,8.301,9.516,10.273,11.996,23.178,0.139
1080,1410.000,8.607,1.778,6.506,7.878,9.469,11.276,12.580,16.574,197.607,0.116
1090,1472.100,8.221,1.925,6.221,7.489,8.927,10.529,11.804,16.176,218.484,0.122
1100,1572.400,7.708,1.975,5.978,7.216,8.580,10.037,11.189,14.686,178.876,0.130
1110,1707.000,7.264,1.878,5.828,7.040,8.354,9.728,10.764,13.692,23.045,0.138
1120,1725.900,7.184,1.984,5.809,7.012,8.298,9.561,10.419,12.561,22.452,0.139
1130,1703.100,7.305,2.001,5.825,7.049,8.386,9.724,10.820,13.440,63.754,0.137
1140,1651.300,7.562,2.167,5.975,7.265,8.677,10.228,11.475,15.484,26.388,0.132
1150,1673.000,7.456,2.037,5.866,7.076,8.422,9.786,10.809,14.179,209.560,0.134
1160,1693.600,7.316,2.226,5.850,7.117,8.456,9.799,10.871,13.373,28.339,0.137
1170,1731.000,7.202,2.162,5.820,7.032,8.326,9.587,10.417,12.823,24.503,0.139
1180,1772.700,7.032,1.878,5.716,6.889,8.133,9.301,10.072,11.855,22.160,0.142
1190,1756.100,7.100,2.022,5.757,6.935,8.207,9.423,10.199,12.016,28.781,0.141
1200,1756.900,7.121,1.892,5.764,6.970,8.253,9.477,10.315,12.258,21.307,0.140
1210,1690.300,7.421,2.131,5.883,7.152,8.516,9.952,11.170,15.476,30.222,0.135
1220,1771.300,7.063,2.044,5.765,6.938,8.169,9.351,10.115,11.602,20.224,0.142
1230,1637.300,7.447,2.136,5.912,7.227,8.570,10.091,11.272,14.122,25.025,0.134
1240,1587.000,7.692,2.010,6.182,7.409,8.823,10.290,11.515,14.520,34.505,0.130
1250,1638.300,7.546,2.158,5.985,7.218,8.574,10.077,11.355,15.002,59.096,0.133
