Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1591.200,3.335,1.655,2.623,3.028,3.585,4.291,4.799,6.559,208.786,0.300
10,1679.600,2.895,1.508,2.370,2.709,3.188,3.817,4.322,5.843,17.889,0.345
20,1719.200,2.805,1.548,2.278,2.632,3.109,3.679,4.134,5.563,35.858,0.356
30,1764.400,2.730,1.509,2.227,2.581,3.039,3.606,4.056,5.189,11.578,0.366
40,1738.300,2.734,1.488,2.215,2.563,3.045,3.650,4.154,5.340,15.380,0.366
50,1660.600,3.008,1.523,2.251,2.645,3.212,4.134,5.379,9.352,17.417,0.332
60,1466.600,3.653,1.724,2.725,3.212,3.975,5.241,6.599,10.055,49.459,0.274
70,1676.100,2.924,1.483,2.390,2.751,3.236,3.860,4.384,5.878,12.484,0.342
80,1650.800,2.914,1.552,2.337,2.701,3.212,3.883,4.495,6.520,15.233,0.343
90,1703.900,2.832,1.492,2.259,2.621,3.114,3.786,4.371,6.118,36.246,0.353
100,1692.600,2.822,1.495,2.255,2.612,3.085,3.737,4.261,5.812,132.382,0.354
110,1749.700,2.764,1.517,2.246,2.604,3.074,3.673,4.155,5.393,18.613,0.362
120,1698.500,2.810,1.552,2.250,2.629,3.132,3.778,4.298,5.824,14.003,0.356
130,1693.100,2.769,1.464,2.223,2.582,3.052,3.661,4.227,5.934,19.443,0.361
140,1536.900,3.429,1.542,2.270,2.646,3.141,3.861,4.576,15.503,204.297,0.292
150,1685.800,2.790,1.485,2.229,2.608,3.078,3.706,4.225,5.890,30.752,0.358
160,1686.500,2.846,1.514,2.278,2.660,3.176,3.843,4.392,5.797,10.925,0.351
170,1662.900,2.869,1.602,2.299,2.684,3.200,3.871,4.435,5.900,13.552,0.349
180,1593.900,2.865,1.548,2.281,2.662,3.182,3.876,4.464,6.139,22.440,0.349
190,1651.100,2.917,1.584,2.324,2.706,3.240,3.960,4.561,6.323,13.336,0.343
200,1670.100,2.872,1.508,2.277,2.662,3.183,3.848,4.395,6.351,17.827,0.348
210,1679.400,2.852,1.540,2.262,2.652,3.170,3.879,4.428,5.989,14.023,0.351
220,1692.500,2.790,1.540,2.219,2.607,3.102,3.757,4.292,5.778,14.158,0.358
230,1407.800,3.978,1.630,2.828,3.429,4.382,6.195,7.976,11.604,23.242,0.251
240,1525.700,3.326,1.694,2.593,3.010,3.624,4.587,5.570,8.384,18.021,0.301
250,1581.100,3.163,1.603,2.475,2.854,3.397,4.241,5.193,8.344,28.498,0.316
260,1618.100,2.950,1.625,2.375,2.745,3.251,3.931,4.520,6.391,14.100,0.339
270,1657.800,2.880,1.508,2.332,2.709,3.194,3.838,4.342,5.877,18.910,0.347
280,1620.600,2.948,1.597,2.361,2.741,3.248,3.922,4.435,6.212,19.572,0.339
290,1665.800,2.884,1.579,2.262,2.632,3.134,3.842,4.471,6.762,79.818,0.347
300,1667.000,2.835,1.543,2.294,2.664,3.155,3.781,4.290,5.720,16.397,0.353
310,1681.900,2.808,1.570,2.271,2.641,3.113,3.688,4.145,5.282,107.155,0.356
320,1717.500,2.819,1.569,2.277,2.649,3.135,3.755,4.262,5.483,41.426,0.355
330,1688.700,2.879,1.600,2.281,2.646,3.134,3.787,4.346,6.268,74.585,0.347
340,1699.600,2.774,1.565,2.256,2.611,3.078,3.675,4.166,5.553,10.682,0.360
350,1694.500,2.795,1.513,2.259,2.619,3.108,3.726,4.212,5.543,15.090,0.358
360,1727.700,2.793,1.559,2.261,2.612,3.088,3.716,4.242,5.996,9.558,0.358
370,1671.300,2.794,1.568,2.264,2.634,3.108,3.727,4.213,5.573,18.156,0.358
380,1668.800,2.884,1.546,2.239,2.622,3.142,3.915,4.673,7.816,13.291,0.347
390,1467.400,3.777,1.656,2.806,3.318,4.058,5.245,6.571,10.901,80.340,0.265
400,1612.300,3.108,1.646,2.513,2.885,3.422,4.123,4.828,6.773,18.258,0.322
410,1591.200,3.081,1.573,2.430,2.831,3.382,4.167,4.886,7.201,31.572,0.325
420,1520.900,3.096,1.627,2.469,2.878,3.431,4.175,4.786,6.709,18.500,0.323
430,1609.300,2.975,1.585,2.352,2.748,3.282,4.019,4.635,6.751,16.562,0.336
440,1683.100,2.843,1.574,2.255,2.626,3.124,3.817,4.433,6.457,18.389,0.352
450,1720.100,2.739,1.564,2.229,2.585,3.038,3.633,4.105,5.411,10.139,0.365
460,1728.000,2.778,1.564,2.228,2.591,3.059,3.688,4.253,6.011,18.844,0.360
470,1695.300,2.864,1.565,2.249,2.627,3.136,3.850,4.545,6.556,79.264,0.349
480,1674.500,2.815,1.507,2.245,2.608,3.106,3.768,4.342,6.551,16.544,0.355
490,1736.600,2.740,1.535,2.235,2.593,3.064,3.618,4.090,5.265,9.448,0.365
500,1729.800,2.774,1.499,2.240,2.597,3.074,3.688,4.183,5.709,35.241,0.360
510,1694.700,2.801,1.553,2.247,2.629,3.127,3.741,4.226,5.763,18.786,0.357
520,1633.300,2.893,1.559,2.278,2.652,3.165,3.860,4.455,6.295,173.587,0.346
530,1584.500,2.959,1.593,2.343,2.758,3.301,4.008,4.546,6.419,14.092,0.338
540,1625.700,2.908,1.476,2.274,2.673,3.201,3.921,4.603,6.935,16.324,0.344
550,1496.600,3.545,1.510,2.506,3.091,3.958,5.293,6.633,10.915,21.138,0.282
560,1599.100,3.288,1.550,2.565,2.970,3.547,4.417,5.282,9.221,38.454,0.304
570,1662.900,2.969,1.569,2.359,2.724,3.243,4.024,4.751,6.978,13.612,0.337
580,1682.100,2.871,1.598,2.303,2.650,3.164,3.863,4.509,6.419,11.241,0.348
590,1711.500,2.826,1.514,2.281,2.625,3.102,3.767,4.374,6.164,11.936,0.354
600,1700.800,2.846,1.533,2.285,2.653,3.143,3.806,4.383,6.022,14.546,0.351
610,1666.600,2.875,1.575,2.315,2.696,3.205,3.833,4.385,5.844,12.159,0.348
620,1620.100,2.904,1.574,2.328,2.705,3.208,3.893,4.486,6.065,13.347,0.344
630,1627.700,2.947,1.613,2.354,2.761,3.287,3.969,4.535,6.115,10.793,0.339
640,1620.900,2.910,1.565,2.329,2.718,3.234,3.955,4.525,5.911,10.732,0.344
650,1692.700,2.805,1.533,2.253,2.610,3.102,3.731,4.251,5.640,61.608,0.357
660,1635.000,2.822,1.570,2.298,2.661,3.136,3.767,4.257,5.498,14.941,0.354
670,1663.300,2.881,1.536,2.322,2.698,3.217,3.867,4.379,5.818,15.583,0.347
680,1716.900,2.789,1.522,2.226,2.602,3.078,3.728,4.295,6.027,13.894,0.359
690,1713.200,2.810,1.566,2.254,2.623,3.090,3.742,4.312,6.121,13.554,0.356
700,1715.700,2.726,1.535,2.217,2.574,3.033,3.609,4.065,5.184,13.110,0.367
710,1718.700,2.767,1.565,2.231,2.601,3.084,3.699,4.200,5.543,11.418,0.361
720,1504.600,3.714,1.553,2.719,3.307,4.131,5.455,6.881,10.031,18.854,0.269
730,1519.100,3.436,1.632,2.659,3.066,3.611,4.467,5.529,9.536,102.616,0.291
740,1543.500,3.312,1.629,2.599,2.992,3.565,4.499,5.524,9.149,20.183,0.302
750,1626.600,3.109,1.589,2.507,2.869,3.409,4.113,4.848,7.206,15.885,0.322
760,1643.900,3.075,1.548,2.378,2.777,3.331,4.120,4.793,9.916,22.185,0.325
770,1592.100,3.092,1.556,2.502,2.896,3.425,4.110,4.675,6.434,13.660,0.323
780,1635.900,2.903,1.601,2.360,2.729,3.223,3.853,4.379,5.715,17.794,0.344
790,1654.300,2.905,1.553,2.283,2.667,3.196,3.954,4.627,6.845,27.776,0.344
800,1649.500,2.803,1.534,2.247,2.624,3.110,3.757,4.273,5.900,14.667,0.357
810,1683.800,2.794,1.592,2.268,2.638,3.094,3.690,4.161,5.616,14.997,0.358
820,1425.500,3.807,1.616,2.723,3.337,4.263,5.972,7.492,10.079,18.888,0.263
830,1513.000,3.442,1.673,2.639,3.049,3.665,4.774,6.238,9.809,19.742,0.291
840,1528.000,3.211,1.650,2.483,2.881,3.483,4.403,5.325,8.017,47.123,0.311
850,1608.500,3.086,1.656,2.419,2.796,3.334,4.173,5.106,8.099,20.011,0.324
860,1674.300,2.879,1.606,2.348,2.703,3.191,3.825,4.374,5.736,11.526,0.347
870,1695.300,2.868,1.590,2.338,2.703,3.181,3.811,4.308,5.507,11.955,0.349
880,1668.900,2.852,1.528,2.330,2.695,3.170,3.759,4.285,5.582,12.104,0.351
890,1702.800,2.801,1.527,2.268,2.631,3.105,3.724,4.201,5.693,11.678,0.357
900,1654.200,2.844,1.567,2.284,2.658,3.165,3.804,4.309,5.840,13.270,0.352
910,1668.500,2.809,1.577,2.255,2.629,3.109,3.739,4.235,5.834,17.462,0.356
920,1601.400,2.979,1.594,2.346,2.744,3.272,4.002,4.660,7.218,20.687,0.336
930,1653.300,2.859,1.564,2.306,2.691,3.190,3.828,4.308,5.706,10.882,0.350
940,1683.800,2.828,1.575,2.259,2.638,3.121,3.759,4.283,6.464,15.934,0.354
950,1438.600,3.731,1.525,2.680,3.267,4.144,5.614,6.996,10.361,55.029,0.268
960,1560.900,3.239,1.653,2.560,2.965,3.558,4.430,5.317,7.596,13.274,0.309
970,1653.400,2.975,1.541,2.355,2.723,3.231,4.025,4.771,7.408,16.023,0.336
980,1662.700,2.930,1.575,2.301,2.679,3.187,3.943,4.739,7.195,29.451,0.341
990,1679.700,2.845,1.544,2.269,2.630,3.097,3.760,4.430,6.698,16.695,0.351
1000,1647.900,2.885,1.609,2.323,2.685,3.184,3.833,4.409,6.332,14.123,0.347
1010,1658.100,2.885,1.560,2.325,2.702,3.172,3.784,4.304,6.453,32.496,0.347
1020,1631.800,2.904,1.574,2.358,2.713,3.206,3.849,4.366,6.029,16.967,0.344
1030,1630.900,2.912,1.597,2.336,2.711,3.206,3.863,4.469,6.504,15.564,0.343
1040,1641.600,2.972,1.574,2.361,2.733,3.215,3.834,4.333,6.006,142.516,0.337
1050,1532.100,3.245,1.647,2.376,2.752,3.261,3.977,4.658,7.730,171.987,0.308
1060,1601.500,3.053,1.574,2.384,2.776,3.298,4.026,4.758,7.506,160.152,0.328
