Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,148.500,2.037,1.243,1.706,1.922,2.231,2.680,2.983,3.626,5.050,0.491
10,158.000,2.048,1.246,1.721,1.927,2.234,2.674,2.955,3.921,7.111,0.488
20,149.500,2.051,1.255,1.739,1.928,2.237,2.689,2.976,3.723,5.620,0.488
30,158.700,2.050,1.150,1.730,1.930,2.226,2.663,2.984,3.728,4.606,0.488
40,158.800,2.093,1.222,1.768,1.945,2.294,2.747,3.077,3.956,6.035,0.478
50,159.300,2.075,1.274,1.746,1.949,2.281,2.719,3.051,3.841,5.691,0.482
60,140.800,2.024,1.259,1.698,1.893,2.232,2.661,2.931,3.550,5.320,0.494
70,158.700,2.078,1.284,1.752,1.940,2.271,2.688,2.990,3.890,8.025,0.481
80,152.100,2.085,1.236,1.753,1.943,2.289,2.733,3.011,3.767,5.694,0.480
90,158.200,2.042,1.309,1.733,1.905,2.249,2.651,2.942,3.641,5.413,0.490
100,157.300,2.074,1.309,1.735,1.915,2.236,2.804,3.101,4.046,6.718,0.482
110,151.900,2.084,1.256,1.761,1.956,2.266,2.699,3.016,3.844,6.511,0.480
120,157.700,2.085,1.285,1.736,1.935,2.279,2.725,3.107,4.148,14.971,0.480
130,160.600,2.077,1.288,1.746,1.938,2.278,2.693,3.010,3.834,7.746,0.482
140,141.200,2.118,1.289,1.770,1.958,2.322,2.799,3.142,4.174,6.274,0.472
150,158.200,2.094,1.289,1.767,1.960,2.277,2.733,3.067,3.858,6.497,0.477
160,153.200,2.204,1.354,1.803,2.048,2.461,2.904,3.231,4.424,6.573,0.454
170,157.700,2.158,1.330,1.791,1.996,2.359,2.843,3.207,4.059,6.322,0.463
180,157.100,2.094,1.287,1.756,1.959,2.317,2.743,3.029,3.587,5.557,0.478
190,157.100,2.124,1.346,1.773,1.955,2.302,2.787,3.194,4.405,7.630,0.471
200,155.500,2.104,1.334,1.768,1.967,2.323,2.741,3.046,3.633,5.281,0.475
210,155.800,2.111,1.376,1.762,1.947,2.303,2.794,3.105,4.057,5.707,0.474
220,159.100,2.147,1.401,1.794,1.988,2.372,2.862,3.190,3.748,7.960,0.466
230,129.300,2.141,1.306,1.817,2.017,2.343,2.726,3.005,4.033,5.272,0.467
240,140.400,2.182,1.345,1.820,2.048,2.400,2.848,3.205,3.912,5.124,0.458
250,146.500,2.189,1.410,1.832,2.023,2.392,2.841,3.186,4.363,7.864,0.457
260,147.100,2.181,1.194,1.817,2.014,2.389,2.903,3.378,4.184,5.834,0.459
270,150.600,2.173,1.351,1.804,2.020,2.382,2.882,3.259,3.939,5.378,0.460
280,145.700,2.208,1.421,1.840,2.063,2.426,2.921,3.318,4.151,5.783,0.453
290,152.600,2.075,1.338,1.764,1.940,2.269,2.699,3.000,3.716,6.234,0.482
