Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,144.200,15.198,11.161,14.052,15.025,16.206,17.284,18.077,20.010,23.820,0.066
10,156.300,14.922,10.932,13.718,14.725,15.932,17.198,17.997,20.234,25.126,0.067
20,161.700,14.884,10.970,13.599,14.607,15.852,17.138,17.944,19.926,43.015,0.067
30,157.900,14.793,11.043,13.540,14.510,15.695,16.919,17.733,19.643,71.958,0.068
40,163.000,14.521,11.011,13.362,14.334,15.442,16.669,17.372,19.045,22.859,0.069
50,152.400,14.817,10.856,13.608,14.633,15.812,17.078,17.971,19.742,22.905,0.067
60,141.100,15.280,11.019,13.914,15.067,16.347,17.643,18.930,20.261,30.495,0.065
70,148.500,15.493,11.032,14.061,15.190,16.644,18.331,19.261,21.640,25.225,0.065
80,151.800,14.927,11.368,13.612,14.679,15.929,17.280,18.171,20.054,23.788,0.067
90,156.000,14.909,10.988,13.639,14.625,15.922,17.271,18.307,20.228,43.164,0.067
100,156.500,15.157,11.253,13.788,14.841,16.209,17.796,18.911,21.267,26.962,0.066
110,158.000,15.070,11.121,13.789,14.833,16.103,17.419,18.334,20.758,24.578,0.066
120,155.600,15.271,11.153,13.956,15.078,16.281,17.718,18.762,20.600,29.533,0.065
130,153.400,15.157,11.211,13.876,14.968,16.232,17.525,18.375,20.314,28.648,0.066
140,159.000,14.874,10.964,13.609,14.625,15.785,17.016,17.891,20.965,37.574,0.067
150,165.000,14.951,11.247,13.557,14.669,15.917,17.399,18.188,20.746,32.761,0.067
160,161.200,15.071,10.835,13.593,14.642,15.791,17.050,18.136,29.005,43.265,0.066
170,154.200,15.299,10.966,13.726,14.730,15.906,17.567,18.995,30.640,44.500,0.065
180,150.400,15.884,10.647,14.170,15.341,16.694,18.368,19.732,30.948,53.671,0.063
190,157.600,14.713,10.682,13.576,14.528,15.700,16.856,17.552,19.401,25.185,0.068
200,154.800,15.158,11.025,13.868,14.973,16.119,17.624,18.394,20.929,26.054,0.066
210,155.200,15.040,11.031,13.762,14.861,16.062,17.380,18.197,20.554,31.760,0.066
220,160.200,15.012,11.096,13.786,14.812,15.931,17.228,18.108,20.129,22.632,0.067
230,147.800,15.265,11.398,13.918,15.030,16.353,17.619,18.722,21.234,30.480,0.066
240,147.100,14.933,10.787,13.722,14.660,15.885,17.287,18.189,19.781,23.674,0.067
250,153.600,15.402,11.438,13.862,14.984,16.315,18.186,19.493,24.898,41.086,0.065
260,160.200,14.974,10.789,13.706,14.715,15.954,17.095,17.938,20.651,32.700,0.067
270,153.900,15.096,10.558,13.757,14.777,15.994,17.335,18.463,24.451,31.714,0.066
280,152.300,15.121,11.069,13.722,14.699,15.822,17.312,18.265,28.727,35.062,0.066
290,153.800,15.200,11.065,13.671,14.720,16.019,17.505,18.890,28.507,34.670,0.066
300,161.900,15.919,10.794,14.057,15.207,16.663,18.639,20.418,31.454,43.068,0.063
310,153.400,15.534,11.044,13.813,14.814,16.306,17.888,19.861,30.013,43.799,0.064
320,155.100,14.713,11.090,13.521,14.490,15.681,16.872,17.802,19.415,22.561,0.068
330,157.500,14.787,10.907,13.653,14.589,15.693,16.873,17.709,19.470,26.035,0.068
340,159.400,14.681,10.864,13.565,14.532,15.590,16.778,17.524,19.031,23.266,0.068
350,160.700,14.738,10.864,13.598,14.560,15.666,16.830,17.854,19.294,23.174,0.068
360,151.800,15.175,11.254,13.782,14.811,16.245,17.743,18.735,20.755,30.361,0.066
370,158.800,14.937,11.132,13.677,14.769,15.881,17.191,18.101,19.913,31.079,0.067
380,163.400,14.875,11.267,13.673,14.644,15.775,16.948,17.771,19.911,29.081,0.067
390,159.600,14.852,10.974,13.623,14.598,15.715,17.006,17.934,19.772,37.130,0.067
400,155.700,15.025,11.256,13.629,14.637,15.806,17.124,18.133,28.093,43.278,0.067
410,143.200,15.238,11.351,13.778,14.792,16.089,17.606,18.946,26.501,38.458,0.066
420,141.700,16.078,11.566,14.358,15.516,17.030,18.789,20.438,30.475,38.118,0.062
430,145.300,15.815,10.281,14.187,15.314,16.841,18.689,19.902,27.072,40.077,0.063
440,145.400,15.219,10.896,13.898,14.964,16.225,17.696,18.636,21.294,25.897,0.066
450,144.800,15.750,11.286,14.309,15.411,16.912,18.632,19.595,22.381,25.420,0.063
460,151.600,15.624,11.350,14.219,15.312,16.562,18.120,19.328,21.607,85.619,0.064
470,154.800,15.200,11.062,13.880,15.019,16.280,17.573,18.366,20.306,27.070,0.066
480,155.000,15.165,11.109,13.809,14.939,16.220,17.541,18.650,20.658,25.189,0.066
490,158.900,14.896,11.555,13.619,14.673,15.915,17.140,17.901,19.679,32.262,0.067
500,162.300,15.069,10.612,13.705,14.773,16.114,17.366,18.215,20.526,36.262,0.066
510,155.400,15.255,10.922,13.793,14.868,16.010,17.369,18.602,28.681,44.833,0.066
520,159.900,15.569,11.192,13.779,14.866,16.077,17.620,20.073,32.569,35.818,0.064
530,143.100,16.222,10.933,13.920,15.008,16.443,19.429,27.944,34.238,46.415,0.062
540,138.400,16.919,11.436,14.267,15.434,17.041,21.622,29.528,37.044,48.892,0.059
550,148.200,15.510,10.665,13.925,15.093,16.496,18.155,19.194,26.221,47.607,0.064
560,143.300,15.373,11.100,13.943,15.082,16.460,17.954,19.149,20.726,24.922,0.065
570,149.000,15.373,11.176,13.994,15.077,16.473,17.943,19.072,21.335,28.698,0.065
580,149.400,15.237,11.767,13.976,14.978,16.218,17.470,18.345,20.821,41.987,0.066
590,148.300,15.597,11.211,14.157,15.286,16.756,18.213,19.291,21.530,29.309,0.064
600,160.500,15.563,11.245,14.165,15.306,16.663,18.226,19.235,21.412,24.878,0.064
610,156.000,14.897,10.629,13.631,14.694,15.866,17.073,18.032,19.945,33.800,0.067
620,163.900,15.101,11.468,13.766,14.842,16.028,17.400,18.164,20.265,77.541,0.066
630,158.000,15.240,11.403,13.841,14.917,16.219,17.421,18.202,27.000,34.216,0.066
640,160.100,15.369,11.198,13.946,14.896,16.264,17.710,18.875,28.262,42.802,0.065
650,155.500,15.786,11.020,14.189,15.232,16.556,18.080,19.501,31.350,52.212,0.063
660,152.400,16.146,11.055,14.227,15.429,16.843,18.660,21.266,32.539,44.694,0.062
670,146.900,15.840,11.555,14.273,15.389,16.790,18.340,19.606,28.226,35.589,0.063
680,152.000,15.344,11.262,14.071,15.149,16.247,17.720,18.793,20.673,29.259,0.065
690,145.200,15.529,11.417,14.250,15.312,16.544,17.780,18.601,21.240,32.919,0.064
700,152.300,15.668,11.568,14.343,15.389,16.788,18.092,18.997,21.337,33.668,0.064
710,157.000,15.342,11.465,14.085,15.086,16.377,17.766,18.631,20.570,31.131,0.065
720,152.000,15.396,11.056,13.985,15.137,16.383,17.757,18.719,21.918,55.495,0.065
730,154.000,15.103,11.476,13.807,14.907,16.078,17.531,18.292,20.121,29.332,0.066
740,161.300,14.873,10.772,13.608,14.593,15.887,17.216,18.067,20.187,31.116,0.067
750,159.200,14.950,11.252,13.610,14.615,15.801,17.240,18.104,20.318,51.252,0.067
760,160.800,15.022,11.181,13.728,14.666,15.900,17.238,18.301,24.808,35.002,0.067
770,156.000,15.631,10.676,13.956,15.002,16.382,18.025,19.724,30.958,50.590,0.064
