Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,144.600,0.822,0.474,0.623,0.720,0.906,1.160,1.437,2.112,3.760,1.217
10,158.600,0.789,0.470,0.599,0.685,0.862,1.147,1.417,2.013,4.210,1.268
20,159.100,0.797,0.471,0.587,0.672,0.877,1.180,1.521,2.142,4.743,1.255
30,153.600,0.766,0.449,0.585,0.662,0.851,1.108,1.344,1.850,2.922,1.306
40,156.400,0.771,0.430,0.581,0.659,0.838,1.101,1.408,2.093,3.436,1.297
50,140.300,0.743,0.458,0.582,0.650,0.796,1.061,1.263,1.836,2.999,1.345
60,149.300,0.755,0.440,0.583,0.653,0.810,1.059,1.315,2.115,3.878,1.324
70,154.000,0.806,0.461,0.595,0.678,0.872,1.220,1.599,2.299,4.415,1.241
80,155.100,0.785,0.471,0.587,0.664,0.849,1.136,1.447,2.188,5.608,1.274
90,147.700,0.756,0.459,0.581,0.654,0.822,1.075,1.347,2.090,5.126,1.322
100,149.500,0.790,0.463,0.589,0.671,0.860,1.178,1.411,2.456,4.027,1.267
110,160.500,0.776,0.451,0.586,0.669,0.841,1.134,1.397,2.098,7.451,1.288
120,155.000,0.788,0.457,0.593,0.675,0.854,1.143,1.430,2.015,4.002,1.269
130,151.600,0.795,0.454,0.589,0.671,0.866,1.165,1.476,2.386,3.314,1.257
140,156.600,0.761,0.459,0.576,0.650,0.826,1.129,1.395,2.069,4.356,1.314
150,156.600,0.752,0.438,0.571,0.647,0.811,1.119,1.376,1.939,2.973,1.329
160,162.200,0.767,0.455,0.580,0.659,0.838,1.110,1.353,2.175,2.972,1.305
170,161.600,0.785,0.447,0.582,0.661,0.869,1.160,1.426,2.278,3.642,1.273
180,143.700,0.792,0.457,0.585,0.658,0.842,1.149,1.542,2.395,5.432,1.262
190,163.200,0.761,0.458,0.580,0.653,0.823,1.088,1.379,2.065,3.565,1.314
200,157.000,0.788,0.462,0.588,0.664,0.867,1.175,1.447,2.286,4.138,1.268
210,156.000,0.774,0.443,0.592,0.662,0.819,1.131,1.407,2.139,4.207,1.293
220,159.700,0.797,0.478,0.589,0.671,0.867,1.156,1.464,2.277,6.194,1.255
230,141.800,0.760,0.454,0.580,0.654,0.812,1.084,1.359,2.152,3.258,1.316
240,152.600,0.757,0.454,0.576,0.651,0.810,1.124,1.365,1.929,5.159,1.321
250,148.500,0.784,0.457,0.583,0.663,0.845,1.145,1.434,2.184,5.215,1.275
260,159.100,0.744,0.460,0.570,0.643,0.802,1.057,1.305,1.918,4.761,1.345
270,153.600,0.770,0.451,0.589,0.657,0.839,1.131,1.374,2.107,3.319,1.299
280,153.500,0.772,0.444,0.579,0.652,0.830,1.128,1.413,2.287,4.089,1.296
290,162.700,0.762,0.463,0.575,0.654,0.826,1.102,1.382,2.128,3.572,1.313
300,143.500,0.784,0.441,0.577,0.658,0.849,1.179,1.495,2.143,5.216,1.275
310,151.200,0.761,0.441,0.574,0.646,0.823,1.131,1.374,2.043,3.278,1.315
320,159.900,0.757,0.464,0.575,0.642,0.812,1.092,1.362,2.141,5.041,1.320
330,158.800,0.781,0.449,0.588,0.663,0.843,1.143,1.490,2.188,4.709,1.281
340,153.100,0.770,0.445,0.578,0.652,0.844,1.140,1.354,1.944,9.723,1.299
350,160.500,0.758,0.453,0.575,0.649,0.823,1.088,1.354,2.123,3.284,1.320
360,160.000,0.785,0.461,0.584,0.666,0.852,1.166,1.456,2.143,4.906,1.275
370,162.700,0.774,0.458,0.584,0.657,0.829,1.138,1.477,2.030,5.099,1.292
380,159.800,0.768,0.454,0.581,0.658,0.829,1.120,1.364,2.018,6.054,1.302
