Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3687.300,5.416,0.474,2.830,4.513,7.502,9.432,11.145,16.193,23.820,0.185
10,3867.000,5.165,0.470,2.550,4.200,7.268,9.172,11.060,15.957,25.126,0.194
20,3913.400,5.106,0.471,2.478,4.106,7.170,9.174,11.318,16.000,43.015,0.196
30,3934.900,5.077,0.449,2.452,4.152,7.116,8.986,10.885,15.766,75.253,0.197
40,4034.400,4.954,0.430,2.413,3.951,6.996,8.882,10.684,15.476,22.859,0.202
50,3669.200,5.447,0.458,2.723,4.759,7.526,9.531,11.975,15.929,22.905,0.184
60,3633.400,5.502,0.440,2.725,4.551,7.508,9.799,13.205,17.229,30.495,0.182
70,3716.100,5.378,0.461,2.601,4.379,7.495,9.691,12.079,16.898,27.963,0.186
80,3868.800,5.168,0.471,2.499,4.211,7.282,9.285,11.355,15.939,23.788,0.194
90,3894.100,5.132,0.459,2.488,4.175,7.187,9.201,11.253,16.039,43.164,0.195
100,3838.800,5.208,0.463,2.495,4.230,7.312,9.406,11.691,16.285,26.962,0.192
110,3883.600,5.147,0.451,2.478,4.182,7.266,9.221,11.269,16.184,27.604,0.194
120,3869.300,5.167,0.457,2.485,4.146,7.263,9.269,11.526,16.466,29.533,0.194
130,3916.500,5.104,0.454,2.453,4.160,7.194,9.140,11.052,16.218,28.648,0.196
140,4005.500,4.991,0.459,2.420,3.965,7.025,8.949,10.674,15.785,37.574,0.200
150,3980.400,5.023,0.438,2.396,4.126,7.063,8.966,10.962,15.979,32.761,0.199
160,4020.400,4.973,0.455,2.399,4.005,6.982,8.847,10.583,15.795,43.265,0.201
170,3992.400,5.008,0.447,2.396,3.982,7.053,8.948,10.712,15.986,44.500,0.200
180,3737.200,5.350,0.457,2.476,4.253,7.381,9.786,13.359,17.328,53.671,0.187
190,3963.300,5.044,0.458,2.436,4.141,7.118,9.035,10.934,15.705,25.185,0.198
200,3857.800,5.183,0.462,2.464,4.210,7.294,9.338,11.449,16.197,29.613,0.193
210,3926.500,5.091,0.443,2.454,4.150,7.179,9.107,10.948,16.068,31.760,0.196
220,3952.800,5.058,0.478,2.434,4.053,7.117,9.071,11.064,15.971,22.632,0.198
230,3666.600,5.452,0.454,2.671,4.682,7.547,9.643,12.089,16.395,30.480,0.183
240,3788.400,5.279,0.454,2.695,4.439,7.329,9.248,11.102,15.865,23.674,0.189
250,3745.500,5.337,0.457,2.569,4.456,7.380,9.467,12.101,16.831,41.086,0.187
260,3945.000,5.069,0.460,2.458,4.140,7.110,9.023,11.063,16.029,32.700,0.197
270,3926.800,5.090,0.451,2.486,4.129,7.147,9.090,10.913,15.988,31.714,0.196
280,3956.300,5.053,0.444,2.457,4.136,7.079,9.016,10.831,15.781,35.062,0.198
290,3957.600,5.051,0.463,2.443,4.036,7.087,8.993,10.923,16.007,34.670,0.198
300,3742.100,5.344,0.441,2.498,4.212,7.345,9.690,13.242,17.604,43.068,0.187
310,3881.700,5.150,0.441,2.466,4.089,7.160,9.262,11.806,16.664,43.799,0.194
320,3971.300,5.034,0.464,2.455,4.145,7.090,8.985,10.709,15.674,24.380,0.199
330,3939.500,5.075,0.449,2.472,4.163,7.123,9.054,11.024,15.723,26.035,0.197
340,3987.600,5.014,0.445,2.433,4.115,7.038,8.970,10.873,15.641,23.266,0.199
350,3988.800,5.011,0.453,2.425,4.087,7.045,8.969,10.877,15.694,23.174,0.200
360,3931.400,5.086,0.461,2.418,4.076,7.130,9.128,11.450,16.604,35.782,0.197
370,4003.300,4.994,0.458,2.400,3.974,7.070,9.003,10.798,15.881,31.079,0.200
380,3998.700,5.000,0.454,2.403,3.999,7.046,8.977,10.825,15.830,29.081,0.200
390,3998.500,5.000,0.440,2.389,4.022,7.037,8.955,10.707,15.840,43.359,0.200
400,3985.500,5.017,0.452,2.401,4.076,7.072,8.999,10.871,15.806,43.278,0.199
410,3647.800,5.479,0.450,2.866,4.695,7.522,9.468,11.662,16.197,38.458,0.183
420,3618.200,5.527,0.454,2.657,4.546,7.608,9.930,13.125,17.557,38.118,0.181
430,3582.500,5.581,0.467,2.691,4.624,7.728,10.046,12.903,17.289,40.077,0.179
440,3708.000,5.391,0.472,2.676,4.579,7.454,9.551,11.802,16.239,25.897,0.186
450,3595.900,5.560,0.444,2.695,4.679,7.728,9.971,12.476,17.036,30.557,0.180
460,3677.300,5.436,0.467,2.642,4.466,7.541,9.645,12.103,16.696,85.619,0.184
470,3891.600,5.137,0.454,2.480,4.136,7.232,9.253,11.328,16.279,27.070,0.195
480,3941.500,5.072,0.453,2.429,4.058,7.134,9.128,11.262,16.258,25.189,0.197
490,3988.700,5.013,0.460,2.417,4.024,7.066,8.972,10.820,15.942,32.262,0.199
500,3917.000,5.103,0.452,2.451,4.135,7.166,9.143,11.340,16.186,36.262,0.196
510,3922.400,5.097,0.450,2.462,4.188,7.151,9.056,10.942,16.009,44.833,0.196
520,3975.900,5.028,0.460,2.425,3.961,7.039,8.977,10.836,16.092,35.818,0.199
530,3790.000,5.275,0.451,2.510,4.422,7.330,9.338,11.428,16.446,46.415,0.190
540,3437.300,5.817,0.458,3.020,4.970,7.806,9.980,13.028,17.655,48.892,0.172
550,3695.400,5.409,0.465,2.625,4.451,7.469,9.742,12.755,16.936,47.607,0.185
560,3749.900,5.331,0.464,2.592,4.430,7.450,9.587,11.669,16.422,24.922,0.188
570,3785.900,5.281,0.452,2.551,4.318,7.419,9.486,11.702,16.515,28.698,0.189
580,3836.200,5.211,0.443,2.526,4.283,7.324,9.315,11.224,16.275,41.987,0.192
590,3739.600,5.346,0.473,2.563,4.402,7.512,9.626,11.870,16.774,29.309,0.187
600,3790.000,5.276,0.470,2.513,4.266,7.410,9.506,11.928,16.789,24.878,0.190
610,3965.400,5.041,0.444,2.437,4.105,7.092,9.042,10.945,15.873,33.800,0.198
620,3909.200,5.114,0.464,2.447,4.052,7.129,9.104,11.278,16.212,85.418,0.196
630,3957.700,5.052,0.456,2.443,4.093,7.081,9.004,10.909,16.219,34.216,0.198
640,3917.900,5.103,0.449,2.445,4.119,7.158,9.138,11.180,16.315,42.802,0.196
650,3881.400,5.150,0.459,2.472,4.169,7.180,9.149,11.192,16.643,52.212,0.194
660,3796.300,5.267,0.466,2.476,4.163,7.262,9.491,12.905,17.370,44.694,0.190
670,3795.900,5.267,0.462,2.499,4.255,7.299,9.445,12.231,17.127,35.589,0.190
680,3775.400,5.295,0.432,2.566,4.501,7.335,9.321,11.663,16.389,29.652,0.189
690,3655.500,5.469,0.454,2.858,4.697,7.455,9.434,11.692,16.624,32.919,0.183
700,3719.400,5.374,0.430,2.637,4.524,7.436,9.477,12.026,16.929,33.699,0.186
710,3894.400,5.134,0.454,2.506,4.249,7.161,9.090,11.031,16.396,31.131,0.195
720,3883.100,5.148,0.429,2.488,4.175,7.191,9.145,11.256,16.530,55.495,0.194
730,3942.500,5.071,0.464,2.465,4.094,7.131,9.062,10.904,16.058,29.332,0.197
740,3966.400,5.041,0.443,2.419,4.147,7.076,9.004,11.056,15.932,31.116,0.198
750,3956.900,5.052,0.462,2.430,4.115,7.077,8.986,10.987,15.859,51.252,0.198
760,3991.600,5.009,0.453,2.404,3.982,7.055,8.978,10.991,15.907,35.002,0.200
770,3867.000,5.170,0.467,2.460,4.208,7.245,9.251,11.366,16.393,50.590,0.193
780,3749.100,5.334,0.473,2.515,4.166,7.411,9.634,12.644,17.432,46.726,0.187
790,3622.400,5.517,0.458,2.621,4.474,7.637,9.979,12.887,17.738,39.772,0.181
800,3739.700,5.348,0.453,2.527,4.385,7.431,9.585,12.067,16.830,82.534,0.187
810,3770.200,5.303,0.465,2.532,4.244,7.365,9.493,11.706,16.735,92.430,0.189
820,3892.500,5.136,0.471,2.484,4.225,7.216,9.163,11.143,16.033,23.586,0.195
830,3687.800,5.421,0.460,2.745,4.679,7.493,9.470,11.828,16.000,31.321,0.184
840,3766.900,5.307,0.446,2.658,4.424,7.338,9.329,11.501,16.175,46.741,0.188
850,3869.900,5.166,0.461,2.511,4.367,7.214,9.166,11.287,15.980,29.683,0.194
