Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,158.200,1.983,1.072,1.663,1.869,2.166,2.603,2.868,3.854,5.586,0.504
10,171.900,1.985,1.079,1.663,1.849,2.151,2.607,2.915,3.785,7.291,0.504
20,166.700,2.045,1.265,1.687,1.884,2.223,2.772,3.088,4.150,6.884,0.489
30,168.900,2.026,1.219,1.691,1.891,2.233,2.696,3.008,3.822,5.077,0.493
40,170.200,2.033,1.168,1.675,1.877,2.229,2.746,3.083,4.067,6.063,0.492
50,166.700,2.007,1.124,1.683,1.883,2.175,2.698,2.929,3.611,8.871,0.498
60,144.700,2.018,1.156,1.681,1.872,2.196,2.679,3.068,3.690,10.051,0.495
70,164.900,1.998,1.171,1.669,1.857,2.168,2.680,3.024,3.839,5.930,0.501
80,171.200,2.037,1.172,1.691,1.884,2.218,2.757,3.079,3.815,12.360,0.491
90,165.300,2.053,1.206,1.708,1.900,2.212,2.754,3.103,4.229,6.604,0.487
100,156.300,2.059,1.122,1.672,1.888,2.251,2.794,3.198,4.420,8.704,0.486
110,159.800,2.089,1.231,1.731,1.925,2.287,2.808,3.197,4.054,6.053,0.479
120,165.000,2.087,1.290,1.725,1.909,2.291,2.852,3.203,3.994,6.744,0.479
130,167.700,2.081,1.264,1.744,1.931,2.268,2.791,3.133,3.939,6.500,0.481
140,168.900,2.084,1.325,1.742,1.937,2.297,2.769,3.079,3.846,6.779,0.480
150,174.900,2.079,1.195,1.728,1.913,2.258,2.802,3.197,4.012,5.349,0.481
160,163.100,2.061,1.323,1.733,1.922,2.240,2.689,3.004,3.794,5.419,0.485
170,163.100,2.029,1.194,1.702,1.899,2.201,2.682,3.036,3.671,6.193,0.493
180,170.700,2.042,1.184,1.730,1.907,2.207,2.702,3.008,3.664,5.005,0.490
190,159.500,2.056,1.229,1.718,1.889,2.237,2.768,3.078,3.945,8.181,0.486
