Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4025.700,4.961,0.428,2.627,4.104,6.877,8.603,10.178,14.673,22.618,0.202
10,4206.600,4.750,0.425,2.379,3.865,6.659,8.413,10.051,14.565,22.992,0.211
20,4162.000,4.800,0.425,2.356,3.930,6.691,8.489,10.377,14.709,38.257,0.208
30,4204.500,4.753,0.407,2.321,3.839,6.634,8.390,10.113,14.711,75.929,0.210
40,4246.300,4.708,0.412,2.304,3.819,6.613,8.409,10.089,14.732,23.447,0.212
50,4179.400,4.785,0.408,2.308,4.008,6.695,8.524,10.385,14.617,47.996,0.209
60,3783.400,5.279,0.418,2.745,4.515,7.047,8.900,11.087,14.984,200.073,0.189
70,4161.900,4.803,0.408,2.410,3.980,6.700,8.484,10.261,14.574,20.445,0.208
80,4106.500,4.868,0.423,2.391,3.966,6.821,8.645,10.680,14.993,26.077,0.205
90,4137.100,4.832,0.389,2.360,4.017,6.736,8.568,10.527,14.845,31.239,0.207
100,3903.900,5.121,0.403,2.415,4.139,7.026,9.345,12.785,16.475,35.013,0.195
110,4102.000,4.873,0.412,2.350,3.999,6.786,8.683,10.834,15.419,37.738,0.205
120,4211.400,4.747,0.381,2.311,3.844,6.667,8.460,10.187,14.942,34.643,0.211
130,4193.300,4.768,0.381,2.308,3.853,6.673,8.504,10.346,14.933,42.480,0.210
140,4151.900,4.815,0.409,2.330,3.947,6.740,8.589,10.348,15.196,47.885,0.208
150,4228.100,4.728,0.419,2.289,3.807,6.636,8.419,10.097,14.920,44.799,0.212
160,4210.800,4.748,0.404,2.296,3.811,6.676,8.417,10.126,14.981,39.836,0.211
170,4093.900,4.883,0.358,2.334,3.958,6.765,8.786,11.454,15.660,47.141,0.205
180,4261.200,4.692,0.424,2.293,3.816,6.602,8.347,10.208,14.545,20.466,0.213
190,4232.200,4.724,0.391,2.299,3.924,6.629,8.432,10.169,14.715,25.192,0.212
200,4182.900,4.779,0.417,2.345,3.877,6.685,8.534,10.332,14.968,21.751,0.209
210,4238.100,4.718,0.399,2.293,3.802,6.627,8.447,10.306,14.813,22.801,0.212
220,4012.700,4.981,0.401,2.408,4.291,6.923,8.825,11.163,15.106,20.980,0.201
230,3829.300,5.221,0.425,2.638,4.413,7.133,9.243,12.053,15.809,31.530,0.192
240,4098.100,4.879,0.402,2.411,3.996,6.813,8.641,10.512,15.044,36.455,0.205
250,4118.400,4.855,0.418,2.373,4.010,6.778,8.603,10.420,15.185,31.049,0.206
260,4141.600,4.827,0.398,2.354,3.896,6.741,8.570,10.402,15.259,43.977,0.207
270,4158.500,4.806,0.414,2.335,3.960,6.702,8.513,10.319,15.238,43.073,0.208
280,4139.000,4.831,0.428,2.322,3.955,6.751,8.554,10.399,15.221,38.994,0.207
290,4077.800,4.903,0.413,2.367,3.972,6.817,8.804,11.401,15.677,34.842,0.204
300,4195.500,4.765,0.392,2.327,3.889,6.712,8.495,10.231,14.764,21.809,0.210
310,4234.300,4.721,0.410,2.302,3.847,6.639,8.424,10.135,14.751,22.787,0.212
320,4182.500,4.781,0.400,2.328,3.881,6.722,8.532,10.365,15.022,26.660,0.209
330,4201.900,4.757,0.413,2.324,3.878,6.686,8.463,10.193,14.937,21.595,0.210
340,4184.800,4.778,0.408,2.315,3.851,6.728,8.508,10.278,15.111,34.026,0.209
350,4095.500,4.881,0.416,2.336,3.862,6.816,8.798,11.282,15.728,30.322,0.205
360,4203.600,4.756,0.402,2.312,3.841,6.688,8.502,10.287,14.907,31.428,0.210
370,4195.400,4.766,0.416,2.292,3.830,6.733,8.518,10.333,15.056,45.461,0.210
380,4114.300,4.859,0.387,2.357,3.944,6.818,8.639,10.444,15.242,39.549,0.206
390,3777.600,5.293,0.401,2.737,4.630,7.227,9.162,11.545,15.486,38.618,0.189
400,4024.000,4.968,0.407,2.493,4.081,6.907,8.761,10.538,15.162,35.443,0.201
410,3886.100,5.146,0.402,2.535,4.272,7.062,9.224,11.956,15.984,35.953,0.194
420,3961.600,5.046,0.408,2.548,4.302,6.955,8.859,10.889,14.964,45.885,0.198
430,3966.000,5.041,0.405,2.485,4.256,7.019,9.000,10.978,15.273,22.309,0.198
440,3956.400,5.053,0.394,2.504,4.186,7.041,8.975,11.098,15.489,25.542,0.198
450,4165.800,4.799,0.402,2.372,3.857,6.710,8.537,10.264,15.023,21.507,0.208
460,4195.600,4.766,0.421,2.334,3.831,6.692,8.504,10.151,14.998,31.199,0.210
470,4008.900,4.988,0.413,2.369,4.022,6.945,8.990,11.760,16.116,36.880,0.200
480,4176.800,4.786,0.381,2.319,3.919,6.698,8.557,10.461,14.999,32.991,0.209
490,4221.300,4.736,0.403,2.307,3.766,6.616,8.437,10.225,15.035,39.408,0.211
500,4148.200,4.820,0.419,2.340,3.897,6.720,8.514,10.166,15.339,43.713,0.207
510,3745.300,5.338,0.403,2.782,4.687,7.226,9.162,11.542,15.580,44.392,0.187
520,3872.100,5.163,0.418,2.583,4.387,6.999,8.911,11.094,15.949,51.219,0.194
530,3983.100,5.020,0.414,2.411,4.086,6.891,9.025,11.913,15.933,39.029,0.199
540,4233.500,4.722,0.418,2.323,3.837,6.636,8.383,10.005,14.735,19.627,0.212
550,4180.200,4.782,0.393,2.332,3.976,6.690,8.516,10.395,14.895,25.318,0.209
560,4125.100,4.847,0.410,2.357,3.991,6.768,8.608,10.642,15.052,43.469,0.206
570,4227.400,4.730,0.415,2.314,3.823,6.662,8.461,10.105,14.807,22.116,0.211
580,4238.800,4.716,0.415,2.301,3.836,6.619,8.415,10.036,14.803,22.304,0.212
590,4075.500,4.906,0.420,2.371,3.957,6.825,8.792,11.182,15.591,31.297,0.204
600,4245.900,4.708,0.389,2.295,3.821,6.618,8.401,9.994,14.879,32.018,0.212
610,4117.900,4.856,0.401,2.357,4.030,6.773,8.644,10.500,15.192,32.149,0.206
620,4115.300,4.858,0.413,2.365,3.936,6.773,8.638,10.507,15.463,35.436,0.206
630,4138.500,4.831,0.411,2.352,3.856,6.729,8.532,10.255,15.445,40.925,0.207
640,3955.600,5.053,0.420,2.453,4.327,6.992,8.860,10.838,15.852,45.222,0.198
650,3742.300,5.344,0.408,2.786,4.569,7.219,9.287,12.136,16.150,38.962,0.187
660,4012.600,4.982,0.394,2.502,4.206,6.878,8.766,10.795,15.387,22.060,0.201
670,4061.600,4.923,0.409,2.444,4.110,6.828,8.648,10.633,15.405,22.666,0.203
680,4031.000,4.960,0.407,2.444,4.092,6.908,8.751,10.798,15.583,23.692,0.202
690,4142.700,4.826,0.393,2.375,3.961,6.732,8.508,10.281,15.321,27.932,0.207
700,4174.900,4.789,0.415,2.323,3.936,6.701,8.516,10.469,15.026,26.829,0.209
710,4051.400,4.935,0.408,2.367,4.053,6.841,8.811,11.398,15.819,43.125,0.203
720,4213.400,4.745,0.411,2.316,3.855,6.656,8.449,10.161,14.851,31.542,0.211
730,4215.200,4.743,0.401,2.318,3.783,6.676,8.459,10.111,14.963,31.343,0.211
740,4156.100,4.810,0.416,2.327,3.896,6.734,8.587,10.380,15.162,37.558,0.208
750,4135.600,4.834,0.412,2.342,4.016,6.723,8.567,10.505,15.228,43.437,0.207
760,4202.800,4.758,0.422,2.332,3.858,6.642,8.473,10.110,14.913,38.625,0.210
770,4003.300,4.994,0.407,2.365,3.978,6.903,9.031,12.195,16.062,49.611,0.200
780,3778.400,5.290,0.406,2.730,4.709,7.228,9.199,11.654,15.084,26.161,0.189
790,4019.500,4.974,0.412,2.498,4.244,6.854,8.745,11.174,15.104,27.577,0.201
800,4068.600,4.915,0.418,2.407,4.092,6.842,8.753,10.877,15.142,35.889,0.203
810,4163.300,4.802,0.397,2.343,4.040,6.700,8.507,10.516,14.784,22.080,0.208
820,4140.400,4.828,0.420,2.345,3.961,6.761,8.604,10.635,15.078,25.147,0.207
830,4063.000,4.921,0.413,2.363,3.974,6.826,8.830,11.518,15.660,33.834,0.203
840,4148.400,4.819,0.406,2.334,4.011,6.749,8.580,10.557,14.982,27.840,0.208
850,4226.100,4.731,0.405,2.299,3.865,6.656,8.413,10.107,14.873,31.373,0.211
860,4153.700,4.813,0.416,2.329,3.893,6.745,8.588,10.504,15.242,42.323,0.208
870,4212.400,4.746,0.412,2.309,3.835,6.646,8.460,10.243,14.960,38.267,0.211
880,4192.500,4.769,0.393,2.301,3.814,6.668,8.478,10.320,15.154,42.343,0.210
890,4092.700,4.884,0.398,2.321,3.868,6.787,8.810,11.581,15.729,44.589,0.205
900,4192.100,4.769,0.412,2.317,3.932,6.722,8.525,10.396,14.755,21.749,0.210
910,4217.400,4.740,0.420,2.313,3.842,6.652,8.449,10.220,14.899,23.724,0.211
920,4195.500,4.766,0.396,2.321,3.889,6.693,8.505,10.324,14.957,33.045,0.210
930,3899.400,5.127,0.416,2.526,4.490,7.069,9.018,11.271,15.115,21.830,0.195
940,3918.100,5.102,0.413,2.632,4.372,7.030,8.917,11.139,15.167,25.088,0.196
950,3931.500,5.086,0.403,2.442,4.210,7.022,9.210,12.055,16.070,30.095,0.197
960,4145.800,4.823,0.412,2.345,3.981,6.742,8.590,10.561,14.880,32.862,0.207
970,4135.800,4.834,0.423,2.334,3.965,6.759,8.629,10.576,15.033,32.517,0.207
980,4099.900,4.876,0.405,2.374,3.861,6.800,8.683,10.692,15.511,51.856,0.205
990,4054.800,4.931,0.416,2.393,4.052,6.898,8.733,10.577,15.539,44.892,0.203
1000,4129.800,4.841,0.410,2.341,3.953,6.783,8.617,10.496,15.294,36.866,0.207
1010,3948.200,5.063,0.381,2.425,4.090,6.946,9.171,12.150,16.216,39.133,0.197
1020,4050.400,4.936,0.424,2.455,4.102,6.910,8.757,10.657,15.009,21.648,0.203
1030,3971.000,5.035,0.396,2.494,4.331,6.957,8.863,10.988,15.059,25.090,0.199
1040,4030.300,4.961,0.404,2.520,4.132,6.895,8.724,10.490,15.055,26.827,0.202
1050,3472.700,5.758,0.419,3.064,5.368,7.742,9.948,12.230,15.678,22.429,0.174
1060,3767.400,5.307,0.433,2.714,4.728,7.263,9.273,11.773,15.355,22.683,0.188
1070,3754.200,5.325,0.407,2.586,4.535,7.270,9.555,12.523,16.416,39.229,0.188
1080,3974.400,5.030,0.410,2.479,4.199,6.971,8.954,11.001,15.511,30.431,0.199
