Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,147.500,14.737,11.354,13.618,14.564,15.668,16.785,17.482,18.820,27.281,0.068
10,153.400,14.602,10.947,13.401,14.350,15.411,16.486,17.267,18.908,147.354,0.068
20,161.400,14.496,10.861,13.399,14.257,15.277,16.502,17.310,19.347,37.841,0.069
30,157.200,14.566,10.725,13.453,14.351,15.527,16.665,17.497,18.894,22.829,0.069
40,157.200,14.626,11.032,13.437,14.479,15.570,16.790,17.392,19.320,22.554,0.068
50,153.500,15.571,10.969,13.533,14.536,15.695,17.025,17.996,20.011,429.752,0.064
60,140.400,14.997,11.080,13.681,14.695,15.940,17.214,18.567,21.294,26.182,0.067
70,154.200,14.611,11.281,13.443,14.410,15.475,16.799,17.713,19.428,22.262,0.068
80,162.000,14.580,11.020,13.408,14.369,15.485,16.631,17.570,19.370,29.339,0.069
90,155.300,14.952,10.689,13.455,14.512,15.709,17.073,17.911,21.571,59.435,0.067
100,160.600,14.696,11.303,13.505,14.442,15.465,16.819,17.666,19.860,35.247,0.068
110,152.400,15.577,11.523,14.123,15.214,16.521,18.057,19.192,24.081,33.613,0.064
120,157.900,14.776,10.928,13.565,14.481,15.775,17.037,17.893,20.102,24.027,0.068
130,164.300,14.652,11.163,13.539,14.434,15.588,16.765,17.488,18.959,26.100,0.068
140,159.600,14.744,11.201,13.557,14.522,15.713,16.770,17.841,20.055,22.549,0.068
150,166.400,14.575,11.289,13.501,14.355,15.459,16.573,17.430,19.190,22.512,0.069
160,158.200,14.724,11.335,13.569,14.492,15.664,17.021,17.863,19.414,24.021,0.068
170,160.700,14.679,10.712,13.532,14.485,15.585,16.674,17.512,19.239,29.993,0.068
180,165.300,14.684,11.189,13.517,14.393,15.589,16.784,17.624,19.442,45.243,0.068
190,161.400,14.841,11.457,13.475,14.494,15.701,16.907,17.713,26.383,43.304,0.067
200,161.400,14.971,11.324,13.510,14.479,15.627,16.891,18.290,29.593,47.103,0.067
210,153.000,14.904,11.175,13.450,14.543,15.690,16.904,17.863,29.357,35.233,0.067
220,152.600,15.526,10.660,13.827,14.892,16.255,17.980,19.433,30.684,40.547,0.064
230,144.400,15.389,11.346,13.806,14.840,16.182,17.836,19.363,27.735,43.733,0.065
240,139.300,15.002,11.202,13.681,14.618,15.889,17.320,18.605,21.606,85.816,0.067
250,146.700,14.735,10.736,13.551,14.494,15.638,16.964,17.858,20.104,25.808,0.068
260,158.200,14.752,11.190,13.528,14.552,15.740,16.849,17.798,19.488,23.250,0.068
270,161.200,14.776,10.660,13.526,14.596,15.723,16.903,17.883,19.557,33.263,0.068
280,149.800,14.562,10.684,13.469,14.383,15.437,16.555,17.487,19.216,27.507,0.069
290,161.300,14.865,11.043,13.636,14.641,15.762,17.065,17.900,19.972,33.465,0.067
300,153.300,14.964,11.251,13.678,14.732,16.014,17.210,18.023,19.701,36.627,0.067
310,161.100,14.844,10.888,13.663,14.666,15.732,16.839,17.637,19.645,33.314,0.067
320,160.000,14.739,10.896,13.509,14.382,15.602,16.721,17.501,25.168,35.510,0.068
330,151.200,15.119,10.460,13.675,14.692,15.920,17.406,18.238,27.828,38.393,0.066
340,153.400,15.183,11.192,13.648,14.607,15.878,17.196,18.351,29.710,41.595,0.066
350,154.200,15.761,11.362,14.109,15.275,16.478,17.970,19.721,29.425,37.781,0.063
360,149.400,15.159,10.773,13.832,14.871,16.177,17.530,18.359,20.632,41.244,0.066
370,156.900,14.831,11.052,13.668,14.623,15.778,16.969,17.695,19.532,22.404,0.067
380,151.700,14.698,10.951,13.500,14.475,15.617,16.951,17.767,19.623,28.702,0.068
390,164.500,14.669,10.920,13.468,14.439,15.565,16.816,17.665,19.358,26.471,0.068
400,156.300,14.557,10.643,13.455,14.364,15.456,16.677,17.539,18.882,21.166,0.069
410,156.900,14.741,11.321,13.566,14.509,15.750,16.951,17.683,19.523,21.500,0.068
420,138.600,15.090,10.838,13.754,14.739,15.915,17.476,18.647,22.404,45.867,0.066
430,152.800,14.751,11.060,13.553,14.512,15.599,16.810,17.824,20.215,31.546,0.068
440,149.600,14.964,11.126,13.640,14.583,15.812,17.226,18.170,21.391,45.762,0.067
450,156.100,14.859,10.780,13.523,14.435,15.557,16.887,18.010,28.102,41.473,0.067
460,152.500,15.483,11.272,13.923,15.076,16.371,17.913,19.368,26.682,67.266,0.065
470,153.200,15.292,11.335,13.802,14.879,16.054,17.577,18.858,27.731,36.766,0.065
480,155.500,15.069,11.193,13.779,14.725,15.899,17.160,18.223,25.351,40.821,0.066
490,144.600,14.823,10.916,13.644,14.552,15.774,17.020,17.941,20.371,32.017,0.067
500,160.100,14.667,10.804,13.492,14.416,15.611,16.807,17.608,19.521,23.347,0.068
510,153.000,14.909,10.772,13.650,14.658,15.928,17.232,18.234,20.407,23.742,0.067
520,161.100,14.958,11.117,13.682,14.723,15.913,17.323,18.170,20.803,24.895,0.067
530,148.000,15.172,11.219,13.874,14.871,16.166,17.681,18.423,20.429,28.687,0.066
540,140.900,15.337,11.125,13.983,15.052,16.305,17.849,18.782,21.208,33.711,0.065
550,143.700,15.329,11.408,13.833,14.887,16.094,17.703,19.145,25.881,46.530,0.065
560,146.200,15.198,10.430,13.684,14.722,16.005,17.332,18.918,28.741,43.347,0.066
570,147.500,15.712,11.131,13.905,14.896,16.311,17.972,19.968,32.405,45.933,0.064
580,155.500,15.970,11.055,13.904,15.021,16.384,18.652,26.602,32.385,44.971,0.063
590,144.900,16.660,11.294,14.145,15.304,16.903,20.291,28.879,35.533,48.821,0.060
600,152.000,16.458,11.462,13.630,14.711,16.379,25.586,29.016,36.820,45.908,0.061
610,155.800,16.924,11.365,13.793,14.976,16.682,26.839,29.467,41.898,45.153,0.059
620,150.200,16.443,11.477,13.803,14.900,16.463,24.546,28.087,38.973,47.087,0.061
630,150.500,15.435,11.476,13.708,14.713,15.992,17.562,19.958,29.619,43.083,0.065
640,157.100,15.603,11.360,13.779,14.834,16.314,17.938,20.627,30.174,44.997,0.064
650,147.100,15.767,11.538,14.005,15.059,16.499,18.185,20.672,30.471,45.232,0.063
660,158.600,14.711,11.236,13.535,14.474,15.662,16.806,17.732,19.205,22.349,0.068
670,149.200,14.989,11.178,13.742,14.698,15.929,17.310,18.287,20.795,23.658,0.067
680,148.200,14.725,11.048,13.475,14.474,15.655,16.919,17.930,19.498,26.466,0.068
690,153.900,14.752,11.068,13.531,14.483,15.649,17.009,17.898,20.068,27.497,0.068
700,156.800,14.825,11.054,13.685,14.592,15.737,17.123,18.024,19.622,22.190,0.067
710,143.700,15.615,11.435,14.215,15.371,16.704,18.144,19.313,21.277,35.826,0.064
720,159.200,15.093,11.125,13.832,14.846,15.942,17.185,18.238,20.938,39.252,0.066
730,158.400,15.269,11.604,14.023,15.027,16.108,17.170,18.183,21.734,34.447,0.065
740,153.400,15.325,11.633,13.957,14.944,16.090,17.266,18.308,28.847,46.095,0.065
750,154.600,15.470,11.657,14.089,15.062,16.253,17.486,18.649,29.407,32.490,0.065
760,153.300,15.834,11.298,14.137,15.206,16.675,18.261,19.884,29.936,37.863,0.063
770,151.900,15.919,11.734,14.244,15.371,16.589,18.262,19.944,30.796,47.108,0.063
780,152.200,15.762,11.287,14.071,15.047,16.464,18.030,20.004,31.040,44.560,0.063
790,150.900,15.804,11.361,14.019,14.988,16.344,18.087,21.934,31.144,44.229,0.063
800,147.900,15.944,11.594,14.041,15.184,16.578,18.551,23.238,30.877,42.501,0.063
810,136.600,15.812,11.687,13.859,14.880,16.307,18.595,24.687,29.503,40.130,0.063
820,149.100,15.777,11.196,13.729,14.824,16.245,19.025,24.998,30.706,43.235,0.063
830,141.700,16.310,11.369,14.200,15.483,17.022,19.496,24.170,31.005,39.958,0.061
840,161.500,14.676,11.045,13.492,14.451,15.639,16.845,17.817,19.859,22.990,0.068
850,162.400,14.571,10.776,13.405,14.315,15.471,16.737,17.573,19.254,24.009,0.069
860,156.400,14.643,11.107,13.430,14.420,15.583,16.813,17.674,19.805,31.815,0.068
870,159.300,14.660,11.045,13.544,14.439,15.593,16.791,17.746,19.269,21.283,0.068
880,158.200,14.922,10.881,13.682,14.690,15.858,17.148,18.077,20.174,31.455,0.067
890,159.700,14.706,10.239,13.522,14.502,15.700,16.845,17.652,19.356,32.114,0.068
900,158.300,15.105,10.546,13.755,14.794,16.087,17.541,18.389,20.677,34.208,0.066
910,161.200,14.884,10.797,13.546,14.622,15.787,17.009,17.991,21.865,36.555,0.067
920,159.700,14.976,11.064,13.521,14.462,15.657,16.925,18.189,29.425,35.500,0.067
930,159.000,15.270,10.997,13.633,14.709,15.896,17.396,18.997,29.508,44.341,0.065
940,152.700,15.463,11.314,13.791,14.883,16.139,17.740,19.418,30.209,41.802,0.065
950,141.400,16.034,10.847,14.391,15.512,16.840,18.497,19.725,31.071,44.693,0.062
960,151.700,15.683,11.122,13.860,14.937,16.292,17.928,20.455,31.124,44.178,0.064
970,121.300,17.500,11.703,14.170,15.252,16.953,19.522,26.074,55.988,185.597,0.057
980,146.600,15.807,11.393,14.038,15.078,16.477,17.973,20.614,29.522,81.239,0.063
990,152.800,15.696,11.003,13.839,14.920,16.377,18.065,21.713,31.158,44.633,0.064
1000,151.600,15.951,11.082,13.729,14.809,16.198,18.523,25.496,30.496,118.927,0.063
1010,147.500,15.989,11.266,13.995,15.200,16.641,18.867,23.394,30.286,41.510,0.063
1020,153.100,15.445,11.235,13.836,15.093,16.416,17.948,19.519,25.376,47.724,0.065
1030,150.800,14.879,10.963,13.620,14.608,15.826,17.102,18.075,19.936,26.495,0.067
1040,159.900,14.838,10.703,13.613,14.569,15.776,17.025,18.003,20.781,34.331,0.067
1050,156.000,14.694,11.005,13.561,14.474,15.573,16.845,17.882,19.720,27.052,0.068
1060,159.000,14.656,10.761,13.450,14.495,15.601,16.812,17.507,19.595,22.045,0.068
1070,150.000,15.186,11.031,13.952,14.961,16.155,17.549,18.291,20.906,26.878,0.066
1080,151.100,15.105,10.739,13.797,14.789,16.100,17.406,18.489,21.626,34.097,0.066
1090,149.200,15.043,11.064,13.777,14.765,15.963,17.297,18.266,20.630,32.767,0.066
1100,134.500,15.310,11.584,13.908,14.965,16.248,17.667,18.773,22.880,32.608,0.065
1110,130.600,15.764,11.388,14.123,15.219,16.700,18.566,19.784,26.954,40.159,0.063
1120,137.200,15.420,11.035,13.904,14.965,16.315,17.688,19.191,27.747,32.739,0.065
1130,145.600,15.681,11.675,13.919,15.002,16.297,18.347,20.616,30.328,41.008,0.064
1140,147.900,15.585,11.256,13.873,15.008,16.397,17.992,19.628,30.869,44.829,0.064
1150,144.000,15.760,10.825,13.989,15.140,16.403,18.209,20.613,30.090,41.968,0.063
1160,149.000,15.536,11.196,13.735,14.804,16.226,18.037,20.810,28.892,60.232,0.064
1170,140.000,15.865,11.399,13.921,14.922,16.154,18.238,21.414,31.163,99.515,0.063
1180,125.700,17.031,11.061,14.123,15.355,17.146,20.147,25.084,32.605,260.208,0.059
1190,114.400,16.938,11.513,14.741,16.099,17.912,20.624,24.357,29.838,37.558,0.059
1200,126.800,17.526,11.576,14.151,15.516,17.686,26.764,30.905,41.218,53.104,0.057
1210,148.800,14.735,11.342,13.571,14.570,15.735,16.850,17.567,19.432,21.452,0.068
1220,149.600,14.845,11.048,13.700,14.642,15.771,16.948,17.826,20.290,21.934,0.067
1230,146.800,15.139,11.274,13.823,14.858,16.087,17.615,18.713,21.175,26.994,0.066
1240,155.400,14.891,10.990,13.699,14.677,15.857,17.110,17.773,19.864,25.180,0.067
1250,146.400,15.087,10.895,13.822,14.853,16.135,17.354,18.319,20.770,26.282,0.066
1260,152.300,15.004,10.936,13.881,14.801,15.919,17.190,17.869,19.549,31.049,0.067
1270,131.100,15.527,11.190,14.108,15.200,16.513,17.974,19.105,22.373,33.562,0.064
1280,137.400,15.612,10.939,13.883,15.017,16.371,18.254,19.810,29.000,104.719,0.064
1290,146.300,15.604,10.714,13.969,15.016,16.394,18.183,19.829,29.303,41.421,0.064
1300,139.100,15.916,11.076,14.002,15.165,16.661,18.490,20.995,31.209,43.057,0.063
1310,143.600,16.394,10.966,14.046,15.147,16.818,19.771,27.778,34.127,44.876,0.061
1320,145.600,16.365,11.338,13.764,14.844,16.387,22.132,28.879,39.152,48.371,0.061
1330,156.000,16.020,10.928,13.745,14.831,16.389,18.773,27.678,32.428,43.334,0.062
1340,156.800,15.404,11.126,13.642,14.666,15.973,17.619,20.497,29.540,43.018,0.065
1350,155.600,15.526,11.214,13.724,14.708,16.102,18.136,22.705,29.815,43.619,0.064
1360,161.600,15.584,10.090,13.722,14.746,16.081,17.875,23.561,31.058,51.299,0.064
1370,153.700,15.624,10.754,13.779,14.915,16.320,18.104,20.010,30.279,80.956,0.064
1380,157.700,14.531,10.920,13.350,14.295,15.475,16.707,17.647,19.329,26.492,0.069
1390,155.300,15.018,11.418,13.757,14.796,16.046,17.327,18.231,20.194,29.342,0.067
1400,152.800,14.888,10.762,13.622,14.676,15.860,17.172,18.116,20.302,28.739,0.067
1410,131.400,15.481,11.427,13.983,15.118,16.549,18.187,19.418,22.951,26.688,0.065
1420,141.700,15.086,11.262,13.728,14.760,16.007,17.494,18.511,21.416,31.568,0.066
1430,141.400,15.956,10.681,14.168,15.284,16.858,18.574,19.716,23.138,130.179,0.063
1440,145.800,15.587,11.404,14.149,15.262,16.594,18.208,19.325,21.886,40.785,0.064
1450,148.700,15.233,10.640,13.795,14.909,16.170,17.545,18.811,24.177,30.800,0.066
1460,152.900,15.344,11.228,13.805,14.925,16.207,17.676,18.799,29.399,34.383,0.065
1470,161.100,15.457,11.361,14.050,15.070,16.203,17.568,18.794,28.591,42.774,0.065
1480,153.400,15.763,11.130,14.053,15.059,16.413,18.329,20.258,30.669,40.975,0.063
1490,145.400,16.227,11.256,14.339,15.365,16.786,18.576,20.968,31.570,94.964,0.062
1500,154.300,15.900,11.385,14.145,15.308,16.677,18.385,19.894,29.449,41.394,0.063
1510,152.600,15.960,10.671,14.128,15.091,16.406,18.404,24.191,31.294,48.831,0.063
1520,153.400,15.772,11.697,14.080,15.110,16.339,18.076,20.334,30.172,43.168,0.063
1530,129.400,16.693,11.729,14.577,15.812,17.507,19.841,25.888,30.901,40.369,0.060
1540,136.700,16.644,12.026,14.500,15.666,17.224,19.935,26.049,31.267,47.890,0.060
1550,135.500,16.899,12.124,14.696,15.862,17.516,20.534,26.102,32.608,42.773,0.059
1560,142.600,16.021,11.478,14.237,15.444,16.960,18.813,20.471,29.514,40.490,0.062
1570,151.400,15.772,11.442,14.300,15.310,16.820,18.587,19.645,22.978,41.251,0.063
1580,147.600,15.588,11.037,14.169,15.244,16.639,18.204,19.400,22.435,25.889,0.064
1590,149.200,15.440,11.629,14.073,15.111,16.408,18.005,18.956,22.093,34.237,0.065
1600,147.200,15.472,10.526,14.009,15.112,16.410,18.124,19.376,23.714,30.935,0.065
1610,157.000,15.360,10.994,14.050,15.118,16.397,17.723,18.622,20.891,26.368,0.065
1620,155.300,14.874,11.216,13.658,14.683,15.866,17.167,17.908,19.786,22.510,0.067
1630,150.500,15.080,11.038,13.789,14.774,16.086,17.402,18.458,20.546,32.157,0.066
1640,155.300,14.919,11.003,13.636,14.612,15.749,17.060,17.870,23.456,39.652,0.067
1650,150.900,15.017,11.188,13.577,14.582,15.884,17.268,18.344,28.319,33.650,0.067
1660,156.100,15.214,10.075,13.719,14.683,15.950,17.447,18.878,28.527,41.780,0.066
1670,128.100,16.041,10.864,14.273,15.415,16.826,18.715,20.363,30.375,46.831,0.062
1680,131.100,15.910,11.381,14.021,15.094,16.788,18.782,21.290,31.649,45.037,0.063
1690,151.200,15.355,10.820,13.680,14.676,16.028,17.696,19.976,29.338,45.133,0.065
1700,152.900,15.319,10.565,13.718,14.597,15.905,17.578,20.119,28.905,39.608,0.065
1710,153.500,15.406,10.992,13.756,14.772,16.088,17.872,19.490,30.290,49.255,0.065
1720,161.200,15.634,10.916,13.629,14.717,16.017,17.997,19.676,31.921,105.143,0.064
1730,154.200,15.629,11.177,13.801,14.873,16.333,18.182,20.672,30.181,37.636,0.064
1740,154.200,14.695,11.211,13.486,14.400,15.596,16.921,17.857,20.731,33.358,0.068
1750,161.100,14.564,10.941,13.429,14.376,15.510,16.712,17.394,19.416,22.458,0.069
1760,157.900,14.850,10.868,13.616,14.605,15.768,17.024,18.032,19.879,26.917,0.067
1770,159.200,14.768,11.279,13.611,14.551,15.685,16.870,17.716,19.613,31.133,0.068
1780,158.500,14.634,10.592,13.440,14.434,15.622,16.760,17.532,19.458,25.697,0.068
1790,152.100,15.521,10.534,14.073,15.185,16.627,18.142,19.246,21.158,34.935,0.064
