Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1664.200,7.411,2.039,6.125,7.315,8.547,9.661,10.392,11.890,17.835,0.135
10,1737.900,7.225,2.115,5.830,7.009,8.215,9.325,10.068,11.525,156.403,0.138
20,1769.200,7.072,2.117,5.749,6.949,8.169,9.247,9.956,11.604,37.020,0.141
30,1773.100,7.074,2.310,5.786,6.971,8.190,9.280,10.047,11.504,18.383,0.141
40,1784.200,7.055,2.087,5.732,6.913,8.168,9.284,10.071,11.669,21.340,0.142
50,1619.200,7.636,2.187,5.780,7.032,8.315,9.520,10.434,13.230,429.985,0.131
60,1569.600,7.765,2.049,6.234,7.513,8.903,10.333,11.603,14.629,38.326,0.129
70,1742.800,7.191,2.084,5.886,7.063,8.300,9.430,10.142,12.021,16.875,0.139
80,1755.800,7.081,2.177,5.794,6.963,8.226,9.317,10.029,11.607,18.252,0.141
90,1751.700,7.149,2.179,5.803,6.997,8.212,9.360,10.138,11.914,55.707,0.140
100,1756.400,7.082,2.263,5.751,6.955,8.188,9.311,10.023,11.692,22.401,0.141
110,1641.100,7.762,2.162,6.021,7.366,8.825,10.651,12.328,17.057,39.822,0.129
120,1768.300,7.116,2.087,5.770,6.997,8.241,9.390,10.144,11.792,25.090,0.141
130,1782.900,7.022,2.050,5.725,6.907,8.150,9.254,9.971,11.408,18.395,0.142
140,1776.300,7.072,2.111,5.740,6.934,8.191,9.370,10.152,11.872,21.563,0.141
150,1803.100,6.974,2.047,5.681,6.874,8.094,9.203,9.926,11.426,16.494,0.143
160,1793.400,7.052,2.142,5.743,6.944,8.186,9.304,10.033,11.564,16.764,0.142
170,1790.300,7.039,2.048,5.742,6.932,8.169,9.263,9.917,11.352,21.801,0.142
180,1784.300,6.989,2.224,5.697,6.890,8.087,9.204,9.889,11.375,16.457,0.143
190,1781.500,7.031,2.131,5.736,6.921,8.147,9.257,9.995,11.637,16.434,0.142
200,1780.600,7.033,2.208,5.707,6.899,8.163,9.282,10.006,11.646,39.341,0.142
210,1805.400,7.015,2.047,5.706,6.902,8.131,9.253,10.001,11.482,16.441,0.143
220,1721.900,7.351,2.072,5.826,7.074,8.428,9.862,11.062,15.332,24.979,0.136
230,1730.200,7.359,2.168,5.856,7.106,8.411,9.838,10.877,15.046,26.732,0.136
240,1546.300,7.823,2.003,6.258,7.515,8.890,10.281,11.439,14.563,92.386,0.128
250,1724.500,7.264,2.223,5.870,7.111,8.384,9.614,10.438,12.605,17.990,0.138
260,1728.200,7.172,2.058,5.843,7.033,8.306,9.463,10.168,12.124,19.785,0.139
270,1752.100,7.149,2.154,5.814,7.012,8.257,9.420,10.259,11.941,28.102,0.140
280,1795.200,7.062,2.080,5.754,6.955,8.187,9.264,10.017,11.649,21.988,0.142
290,1765.900,7.101,2.032,5.805,6.996,8.235,9.323,10.056,11.597,17.208,0.141
300,1766.600,7.148,2.069,5.807,7.016,8.263,9.432,10.156,11.986,26.653,0.140
310,1755.600,7.112,2.214,5.806,6.994,8.212,9.364,10.122,11.844,17.711,0.141
320,1793.100,7.025,1.988,5.730,6.903,8.149,9.227,9.962,11.556,18.870,0.142
330,1766.200,7.151,2.100,5.815,7.049,8.293,9.433,10.165,11.947,18.309,0.140
340,1782.900,7.078,2.179,5.771,6.967,8.201,9.330,10.036,11.525,32.864,0.141
350,1680.900,7.510,2.189,5.941,7.222,8.600,10.030,11.406,15.528,25.699,0.133
360,1726.200,7.383,2.058,5.853,7.141,8.450,9.810,10.938,15.002,36.574,0.135
370,1772.000,7.107,2.144,5.768,6.996,8.243,9.429,10.166,11.719,17.419,0.141
380,1789.400,7.100,2.166,5.739,6.952,8.212,9.377,10.154,11.936,24.761,0.141
390,1775.300,7.034,2.100,5.709,6.926,8.154,9.270,9.989,11.591,20.541,0.142
400,1815.400,6.988,2.129,5.684,6.884,8.104,9.211,9.935,11.506,14.398,0.143
410,1786.600,7.025,2.141,5.723,6.899,8.145,9.248,9.971,11.535,17.564,0.142
420,1559.700,7.795,1.945,6.316,7.559,8.886,10.338,11.491,14.271,40.404,0.128
430,1717.900,7.252,2.245,5.920,7.123,8.373,9.528,10.310,12.220,19.609,0.138
440,1750.900,7.187,2.075,5.835,7.048,8.313,9.535,10.325,12.128,16.737,0.139
450,1747.600,7.177,2.255,5.799,7.039,8.295,9.447,10.258,12.438,26.301,0.139
460,1671.600,7.507,2.064,5.903,7.172,8.541,9.993,11.263,15.691,68.735,0.133
470,1699.400,7.383,2.305,5.894,7.147,8.495,9.836,10.810,14.457,26.608,0.135
480,1696.900,7.308,2.132,5.970,7.164,8.442,9.601,10.356,12.242,36.199,0.137
490,1702.300,7.336,2.150,6.015,7.211,8.493,9.606,10.365,12.232,21.878,0.136
500,1727.000,7.163,2.113,5.877,7.055,8.281,9.406,10.134,11.562,21.834,0.140
510,1753.600,7.165,2.141,5.819,7.033,8.297,9.510,10.290,11.880,17.019,0.140
520,1679.500,7.345,2.121,5.948,7.192,8.439,9.735,10.624,12.945,23.231,0.136
530,1754.100,7.234,2.027,5.878,7.078,8.369,9.573,10.350,12.199,25.608,0.138
540,1560.100,7.800,2.112,6.285,7.593,8.981,10.481,11.456,14.396,22.427,0.128
550,1605.500,7.650,2.068,6.167,7.431,8.738,10.138,11.212,14.403,36.335,0.131
560,1680.900,7.419,2.020,6.015,7.230,8.534,9.844,10.770,13.200,22.258,0.135
570,1702.200,7.319,2.114,5.981,7.185,8.444,9.617,10.481,12.197,18.968,0.137
580,1668.300,7.399,2.162,5.992,7.200,8.540,9.828,10.764,13.247,24.663,0.135
590,1641.100,7.650,2.161,6.034,7.307,8.724,10.329,11.924,16.194,24.853,0.131
600,1737.600,7.161,2.061,5.847,7.049,8.293,9.438,10.153,11.674,19.201,0.140
610,1722.700,7.142,2.154,5.843,7.022,8.256,9.359,10.055,11.693,20.104,0.140
620,1743.500,7.176,2.132,5.799,7.032,8.330,9.514,10.292,12.055,19.126,0.139
630,1781.400,7.056,2.107,5.747,6.929,8.167,9.287,9.997,11.654,25.365,0.142
640,1724.200,7.227,2.369,5.854,7.087,8.367,9.585,10.437,12.279,19.323,0.138
650,1701.500,7.408,2.146,5.949,7.239,8.529,9.825,10.805,13.750,23.354,0.135
660,1780.800,7.079,2.165,5.768,6.963,8.211,9.331,10.034,11.589,17.111,0.141
670,1589.100,7.658,2.219,6.152,7.443,8.820,10.232,11.297,14.179,24.381,0.131
680,1693.400,7.295,1.987,5.942,7.133,8.382,9.615,10.450,12.522,21.078,0.137
690,1758.400,7.162,2.285,5.824,7.025,8.258,9.456,10.211,12.145,23.531,0.140
700,1747.900,7.157,2.145,5.826,7.042,8.308,9.435,10.219,11.935,16.954,0.140
710,1634.300,7.748,2.099,6.028,7.341,8.832,10.557,12.461,17.043,29.678,0.129
720,1755.400,7.117,2.125,5.786,6.974,8.191,9.347,10.071,11.715,41.184,0.141
730,1745.200,7.110,2.224,5.807,6.996,8.246,9.348,10.054,11.606,18.562,0.141
740,1751.800,7.136,2.205,5.805,7.011,8.272,9.417,10.167,11.788,18.002,0.140
750,1745.700,7.144,2.095,5.830,7.010,8.257,9.384,10.141,11.775,34.959,0.140
760,1705.300,7.290,2.332,5.878,7.124,8.415,9.682,10.558,12.929,23.374,0.137
770,1731.000,7.236,2.155,5.883,7.106,8.366,9.534,10.370,12.313,18.087,0.138
780,1731.900,7.184,2.120,5.835,7.037,8.324,9.486,10.284,12.016,35.936,0.139
790,1765.100,7.056,2.228,5.754,6.966,8.180,9.246,9.931,11.510,25.620,0.142
800,1664.400,7.365,2.129,5.909,7.183,8.495,9.773,10.771,13.826,22.499,0.136
810,1624.000,7.534,2.101,6.170,7.345,8.606,9.919,10.880,13.236,22.279,0.133
820,1705.000,7.285,2.198,5.838,7.073,8.371,9.632,10.608,13.475,30.038,0.137
830,1578.700,8.051,2.132,6.114,7.531,9.136,11.469,13.607,18.584,30.134,0.124
840,1754.100,7.120,2.130,5.804,6.995,8.247,9.374,10.174,12.052,18.195,0.140
850,1772.300,7.078,2.045,5.741,6.912,8.157,9.342,10.094,12.016,33.864,0.141
860,1764.300,7.115,2.088,5.734,6.981,8.260,9.471,10.271,12.061,20.998,0.141
870,1785.600,7.063,2.067,5.751,6.949,8.183,9.319,10.035,11.714,23.001,0.142
880,1733.900,7.209,2.305,5.819,7.034,8.273,9.488,10.331,13.134,33.266,0.139
890,1783.300,7.051,2.216,5.723,6.938,8.196,9.305,10.004,11.613,17.760,0.142
900,1727.400,7.254,2.215,5.866,7.093,8.389,9.634,10.492,12.442,19.412,0.138
910,1765.500,7.061,2.180,5.729,6.916,8.175,9.282,10.031,11.725,34.867,0.142
920,1781.800,6.991,2.259,5.694,6.878,8.134,9.199,9.893,11.371,22.850,0.143
930,1763.000,7.128,2.168,5.789,6.994,8.246,9.387,10.144,11.936,28.401,0.140
940,1729.400,7.213,2.206,5.813,7.048,8.338,9.515,10.366,12.559,35.810,0.139
