Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1576.800,3.205,1.807,2.637,3.044,3.586,4.250,4.684,6.016,9.048,0.312
10,1653.000,2.870,1.658,2.349,2.694,3.151,3.696,4.132,5.151,146.094,0.348
20,1700.000,2.760,1.627,2.262,2.597,3.039,3.575,4.017,5.169,28.754,0.362
30,1712.000,2.749,1.620,2.261,2.608,3.054,3.598,4.033,5.067,13.770,0.364
40,1714.300,2.714,1.644,2.237,2.584,3.003,3.567,3.988,5.009,9.710,0.368
50,1551.900,3.093,1.569,2.237,2.594,3.088,3.759,4.364,6.886,429.802,0.323
60,1502.700,3.527,1.617,2.618,3.138,3.871,5.057,6.411,10.019,32.699,0.284
70,1611.100,2.971,1.636,2.469,2.813,3.252,3.820,4.328,6.023,11.810,0.337
80,1677.800,2.833,1.638,2.331,2.668,3.132,3.700,4.209,5.651,10.649,0.353
90,1671.600,2.810,1.571,2.280,2.634,3.087,3.658,4.133,5.557,48.306,0.356
100,1716.100,2.762,1.610,2.256,2.598,3.054,3.633,4.119,5.466,17.957,0.362
110,1548.100,2.888,1.614,2.319,2.704,3.209,3.878,4.408,5.814,30.004,0.346
120,1680.600,2.742,1.605,2.239,2.606,3.031,3.602,4.050,5.180,19.022,0.365
130,1712.200,2.699,1.574,2.217,2.571,2.993,3.548,3.974,4.951,7.832,0.371
140,1690.300,2.740,1.602,2.219,2.578,3.003,3.616,4.173,5.691,12.941,0.365
150,1690.700,2.676,1.626,2.194,2.552,2.971,3.507,3.922,4.942,9.310,0.374
160,1684.900,2.708,1.615,2.222,2.579,2.999,3.556,3.969,5.070,8.748,0.369
170,1684.400,2.711,1.617,2.226,2.580,3.005,3.551,3.972,5.056,14.487,0.369
180,1725.700,2.695,1.608,2.205,2.559,2.990,3.543,4.004,5.069,9.199,0.371
190,1714.800,2.687,1.619,2.206,2.553,2.980,3.528,3.966,5.035,10.568,0.372
200,1707.900,2.682,1.595,2.189,2.538,2.945,3.499,3.923,5.111,27.138,0.373
210,1720.100,2.669,1.582,2.188,2.549,2.966,3.509,3.898,4.887,8.907,0.375
220,1653.700,2.730,1.623,2.237,2.597,3.018,3.582,4.045,5.175,13.308,0.366
230,1653.200,2.775,1.617,2.248,2.618,3.083,3.679,4.171,5.496,15.281,0.360
240,1498.500,3.613,1.625,2.660,3.156,3.897,5.015,6.246,9.491,88.161,0.277
250,1624.500,3.006,1.652,2.431,2.793,3.277,3.975,4.612,6.765,15.496,0.333
260,1689.400,2.849,1.640,2.321,2.682,3.153,3.751,4.233,5.784,12.164,0.351
270,1646.100,2.813,1.614,2.283,2.630,3.094,3.727,4.257,5.937,24.288,0.355
280,1694.200,2.766,1.660,2.261,2.601,3.049,3.626,4.127,5.732,10.352,0.362
290,1663.200,2.757,1.629,2.260,2.608,3.059,3.623,4.103,5.322,8.987,0.363
300,1672.500,2.763,1.598,2.263,2.617,3.058,3.626,4.086,5.224,20.214,0.362
310,1698.400,2.747,1.549,2.248,2.603,3.044,3.634,4.083,5.223,11.310,0.364
320,1709.900,2.682,1.575,2.209,2.554,2.967,3.518,3.915,4.959,11.374,0.373
330,1671.900,2.767,1.612,2.242,2.601,3.059,3.683,4.194,5.585,11.877,0.361
340,1688.100,2.722,1.587,2.214,2.570,3.005,3.592,4.027,5.118,28.188,0.367
350,1597.900,2.822,1.598,2.300,2.664,3.127,3.759,4.220,5.441,11.952,0.354
360,1629.400,2.784,1.602,2.263,2.625,3.089,3.679,4.160,5.260,30.961,0.359
370,1698.700,2.715,1.615,2.228,2.584,3.001,3.559,4.008,5.127,8.778,0.368
380,1680.400,2.742,1.581,2.225,2.577,3.009,3.610,4.095,5.790,17.391,0.365
390,1721.900,2.697,1.615,2.212,2.571,2.985,3.530,3.973,5.041,11.852,0.371
400,1715.300,2.662,1.623,2.189,2.545,2.948,3.498,3.918,4.950,7.587,0.376
410,1733.600,2.689,1.582,2.213,2.565,2.979,3.522,3.944,4.985,9.945,0.372
420,1475.500,3.633,1.681,2.758,3.219,3.917,5.116,6.657,9.967,35.391,0.275
430,1642.800,2.953,1.591,2.402,2.751,3.236,3.882,4.476,6.606,12.077,0.339
440,1663.000,2.839,1.663,2.312,2.660,3.115,3.728,4.306,5.982,10.850,0.352
450,1663.100,2.818,1.577,2.294,2.635,3.098,3.692,4.210,6.073,18.132,0.355
460,1621.400,2.867,1.655,2.327,2.682,3.156,3.776,4.301,5.890,63.746,0.349
470,1615.000,2.887,1.637,2.328,2.704,3.192,3.846,4.400,5.998,15.610,0.346
480,1648.800,2.910,1.670,2.377,2.735,3.227,3.828,4.310,5.781,27.210,0.344
490,1627.000,3.034,1.620,2.465,2.831,3.341,4.042,4.609,6.173,15.200,0.330
500,1678.300,2.876,1.669,2.370,2.711,3.183,3.801,4.250,5.608,9.519,0.348
510,1679.700,2.801,1.584,2.285,2.642,3.121,3.712,4.206,5.400,18.219,0.357
