Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,143.600,2.107,1.304,1.751,1.971,2.340,2.799,3.132,3.797,5.264,0.475
10,153.900,2.101,1.239,1.768,1.949,2.336,2.764,3.080,3.955,5.664,0.476
20,156.900,2.090,1.300,1.762,1.968,2.287,2.758,3.064,3.553,5.897,0.478
30,150.900,2.161,1.358,1.786,1.997,2.397,2.854,3.240,4.130,9.557,0.463
40,155.300,2.123,1.289,1.762,1.963,2.319,2.858,3.197,3.981,8.667,0.471
50,149.600,2.133,1.275,1.777,1.978,2.327,2.813,3.167,4.284,5.554,0.469
60,138.300,2.146,1.319,1.797,2.004,2.339,2.800,3.098,3.953,9.644,0.466
70,147.200,2.103,1.283,1.763,1.949,2.274,2.783,3.111,3.916,7.869,0.476
80,155.700,2.111,1.352,1.783,1.966,2.295,2.760,3.036,3.867,5.994,0.474
90,159.100,2.111,1.327,1.771,1.966,2.286,2.768,3.106,4.139,10.013,0.474
100,156.800,2.142,1.321,1.794,1.995,2.322,2.857,3.179,4.138,5.153,0.467
110,139.400,2.107,1.346,1.746,1.956,2.336,2.798,3.131,3.951,6.238,0.475
120,163.100,2.120,1.340,1.763,1.947,2.291,2.811,3.217,4.400,8.321,0.472
130,156.600,2.128,1.363,1.786,1.971,2.361,2.796,3.081,4.036,5.470,0.470
140,152.200,2.120,1.416,1.770,1.964,2.334,2.790,3.086,4.161,5.871,0.472
150,165.900,2.113,1.340,1.768,1.955,2.324,2.815,3.068,4.050,5.162,0.473
160,155.600,2.137,1.344,1.783,1.978,2.344,2.807,3.177,4.417,5.158,0.468
170,162.200,2.129,1.251,1.789,1.976,2.343,2.796,3.091,4.011,5.614,0.470
180,157.200,2.093,1.351,1.765,1.953,2.299,2.713,3.096,3.632,5.810,0.478
190,159.400,2.151,1.396,1.795,1.981,2.388,2.893,3.156,4.172,6.642,0.465
200,168.600,2.107,1.325,1.771,1.959,2.341,2.769,3.033,3.803,5.029,0.475
210,158.700,2.109,1.227,1.763,1.950,2.309,2.775,3.146,4.118,7.154,0.474
220,154.800,2.125,1.411,1.770,1.972,2.312,2.869,3.191,3.939,6.731,0.471
230,156.700,2.150,1.349,1.785,1.996,2.355,2.817,3.231,4.152,6.096,0.465
240,143.700,2.088,1.321,1.764,1.954,2.289,2.708,3.042,3.604,7.636,0.479
250,148.700,2.106,1.405,1.764,1.938,2.302,2.773,3.071,4.279,5.845,0.475
260,157.200,2.132,1.318,1.786,1.989,2.343,2.781,3.140,3.825,6.783,0.469
270,158.200,2.132,1.373,1.768,1.962,2.321,2.843,3.186,4.272,7.841,0.469
280,156.900,2.103,1.311,1.762,1.947,2.304,2.782,3.053,3.806,6.165,0.476
290,163.000,2.127,1.339,1.780,1.964,2.337,2.807,3.108,3.932,6.548,0.470
300,153.500,2.151,1.399,1.787,1.985,2.385,2.839,3.171,4.032,6.247,0.465
310,156.200,2.127,1.380,1.769,1.964,2.319,2.826,3.200,4.024,5.025,0.470
320,157.500,2.108,1.405,1.771,1.947,2.307,2.780,3.089,3.914,6.523,0.474
330,155.500,2.127,1.383,1.791,1.992,2.338,2.796,3.090,3.765,5.387,0.470
340,155.000,2.146,1.314,1.784,1.983,2.387,2.878,3.133,3.951,5.235,0.466
350,145.800,2.157,1.447,1.791,1.993,2.380,2.868,3.192,3.980,5.517,0.464
360,152.700,2.141,1.281,1.780,2.005,2.362,2.840,3.147,3.895,5.296,0.467
370,158.600,2.172,1.266,1.794,1.992,2.394,2.928,3.235,4.151,6.105,0.460
380,157.000,2.107,1.341,1.781,1.974,2.310,2.718,3.022,3.796,5.229,0.475
390,160.800,2.105,1.342,1.772,1.945,2.286,2.796,3.167,3.838,6.424,0.475
400,166.400,2.076,1.329,1.759,1.927,2.268,2.734,3.026,3.657,5.909,0.482
410,164.500,2.101,1.299,1.768,1.940,2.296,2.787,3.116,3.830,6.828,0.476
420,136.800,2.091,1.389,1.767,1.954,2.263,2.702,3.027,3.873,6.195,0.478
430,152.500,2.075,1.289,1.760,1.939,2.225,2.684,3.017,3.758,6.896,0.482
440,157.000,2.090,1.341,1.749,1.939,2.262,2.741,3.096,4.258,6.714,0.479
450,157.400,2.081,1.365,1.767,1.943,2.268,2.720,3.000,3.714,5.648,0.480
460,154.200,2.097,1.406,1.750,1.950,2.283,2.768,3.086,3.836,7.831,0.477
470,153.200,2.116,1.350,1.763,1.962,2.303,2.796,3.062,4.074,6.182,0.473
480,157.100,2.134,1.399,1.766,1.971,2.330,2.829,3.188,4.196,5.946,0.469
490,149.800,2.115,1.378,1.774,1.971,2.290,2.730,3.116,4.230,5.765,0.473
500,157.000,2.076,1.355,1.755,1.930,2.283,2.698,3.002,3.862,5.306,0.482
510,152.500,2.144,1.393,1.769,1.949,2.334,2.881,3.281,4.330,7.272,0.466
520,156.000,2.118,1.386,1.766,1.974,2.323,2.784,3.104,3.938,5.944,0.472
530,159.000,2.144,1.391,1.780,1.978,2.347,2.858,3.208,4.206,8.658,0.467
540,141.200,2.204,1.383,1.823,2.052,2.428,2.906,3.265,4.120,6.603,0.454
550,154.600,2.193,1.369,1.845,2.036,2.383,2.898,3.281,4.168,6.504,0.456
560,151.300,2.223,1.409,1.837,2.048,2.421,2.934,3.299,4.283,8.353,0.450
570,148.300,2.252,1.344,1.868,2.060,2.473,3.004,3.418,4.460,6.236,0.444
580,147.100,2.206,1.418,1.842,2.048,2.435,2.907,3.176,4.195,10.549,0.453
590,143.900,2.176,1.318,1.812,1.998,2.398,2.913,3.279,4.168,6.381,0.460
600,156.700,2.182,1.446,1.818,1.995,2.413,2.922,3.262,4.010,6.323,0.458
610,152.200,2.196,1.358,1.833,2.029,2.409,2.904,3.282,4.102,6.517,0.455
620,154.800,2.170,1.244,1.803,1.995,2.390,2.888,3.213,4.204,6.906,0.461
630,163.200,2.088,1.373,1.761,1.942,2.290,2.768,3.074,3.627,5.032,0.479
