Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,139.900,0.779,0.459,0.603,0.682,0.875,1.095,1.323,2.018,2.913,1.283
10,149.400,0.752,0.457,0.575,0.647,0.794,1.087,1.349,2.081,2.975,1.329
20,148.300,0.763,0.460,0.580,0.650,0.813,1.107,1.344,2.110,3.947,1.311
30,153.900,0.759,0.436,0.578,0.657,0.812,1.103,1.313,2.063,4.147,1.318
40,158.000,0.756,0.427,0.578,0.652,0.825,1.099,1.343,1.943,4.727,1.322
50,136.100,0.733,0.470,0.570,0.636,0.785,1.026,1.218,2.015,3.343,1.363
60,151.600,0.751,0.461,0.581,0.649,0.794,1.055,1.282,2.102,6.556,1.331
70,138.600,0.816,0.442,0.601,0.685,0.882,1.238,1.486,2.500,3.612,1.225
80,149.700,0.789,0.457,0.592,0.668,0.866,1.151,1.412,2.368,3.418,1.267
90,147.200,0.791,0.444,0.594,0.674,0.862,1.169,1.497,2.258,3.295,1.265
100,151.000,0.782,0.466,0.593,0.666,0.862,1.140,1.417,2.010,4.145,1.279
110,146.700,0.771,0.465,0.581,0.654,0.810,1.142,1.411,2.154,4.971,1.296
120,152.700,0.792,0.433,0.587,0.671,0.881,1.188,1.451,2.114,3.439,1.262
130,149.100,0.811,0.461,0.603,0.686,0.887,1.197,1.557,2.337,4.643,1.232
140,153.400,0.778,0.449,0.591,0.663,0.825,1.141,1.432,2.351,3.296,1.285
150,154.900,0.786,0.451,0.586,0.670,0.856,1.129,1.438,2.296,4.561,1.272
160,148.800,0.798,0.454,0.584,0.671,0.896,1.224,1.490,2.370,4.174,1.253
170,152.500,0.804,0.469,0.594,0.680,0.869,1.180,1.453,2.440,5.259,1.244
180,152.600,0.792,0.461,0.599,0.686,0.872,1.151,1.376,2.035,4.422,1.263
190,150.800,0.820,0.463,0.609,0.698,0.901,1.210,1.520,2.267,4.566,1.219
