Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1550.000,3.288,1.750,2.699,3.126,3.692,4.362,4.870,6.126,9.869,0.304
10,1643.200,2.886,1.606,2.393,2.734,3.195,3.750,4.211,5.405,11.743,0.347
20,1641.800,2.874,1.664,2.341,2.706,3.188,3.788,4.290,5.427,30.734,0.348
30,1664.400,2.827,1.617,2.302,2.665,3.135,3.736,4.173,5.325,18.378,0.354
40,1681.600,2.780,1.629,2.284,2.636,3.093,3.667,4.094,5.129,9.713,0.360
50,1482.600,3.711,1.689,2.791,3.281,4.042,5.416,6.918,10.467,17.595,0.269
60,1588.700,3.057,1.630,2.526,2.887,3.374,3.984,4.483,5.897,29.915,0.327
70,1495.200,3.203,1.751,2.516,2.943,3.536,4.393,5.147,7.541,17.854,0.312
80,1600.100,2.980,1.646,2.400,2.772,3.293,3.976,4.546,6.531,11.281,0.336
90,1616.900,2.911,1.603,2.381,2.758,3.238,3.844,4.309,5.344,31.223,0.344
100,1621.400,2.879,1.668,2.347,2.726,3.207,3.800,4.239,5.471,20.102,0.347
110,1660.000,2.815,1.574,2.294,2.662,3.122,3.722,4.213,5.377,15.688,0.355
120,1631.200,2.837,1.602,2.323,2.693,3.162,3.743,4.210,5.286,8.515,0.352
130,1580.400,2.929,1.657,2.365,2.753,3.263,3.921,4.476,5.857,15.450,0.341
140,1645.700,2.871,1.584,2.331,2.711,3.189,3.809,4.321,5.527,16.426,0.348
150,1620.600,2.836,1.587,2.320,2.697,3.147,3.747,4.203,5.271,22.822,0.353
160,1630.400,2.858,1.647,2.336,2.715,3.195,3.804,4.258,5.321,8.989,0.350
170,1629.900,2.849,1.532,2.320,2.697,3.175,3.776,4.252,5.452,12.680,0.351
180,1622.600,2.857,1.660,2.348,2.710,3.177,3.776,4.233,5.386,9.517,0.350
