Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,144.100,2.163,1.301,1.786,2.009,2.388,2.868,3.277,4.077,5.415,0.462
10,150.200,2.151,1.263,1.774,1.991,2.379,2.874,3.230,4.207,11.781,0.465
20,154.000,2.177,1.150,1.793,1.996,2.400,2.872,3.320,4.488,8.114,0.459
30,154.500,2.181,1.344,1.809,2.032,2.424,2.865,3.298,4.191,6.907,0.458
40,158.500,2.166,1.313,1.786,2.012,2.421,2.854,3.211,4.175,5.809,0.462
50,135.000,2.154,1.298,1.799,2.025,2.373,2.831,3.173,3.946,5.724,0.464
60,156.900,2.139,1.283,1.798,2.002,2.335,2.785,3.180,4.159,10.871,0.468
70,140.200,2.265,1.301,1.844,2.109,2.481,3.006,3.652,4.659,6.229,0.442
80,154.400,2.203,1.364,1.826,2.037,2.445,2.902,3.295,4.272,5.517,0.454
90,141.000,2.239,1.359,1.843,2.072,2.496,2.948,3.344,4.241,5.415,0.447
100,151.600,2.252,1.345,1.863,2.083,2.502,2.943,3.375,4.416,6.232,0.444
110,160.400,2.181,1.230,1.822,2.012,2.412,2.890,3.229,4.193,6.405,0.459
120,144.700,2.237,1.378,1.843,2.063,2.479,3.021,3.374,4.101,6.473,0.447
130,144.300,2.264,1.284,1.836,2.089,2.520,3.031,3.466,4.540,6.757,0.442
140,150.400,2.221,1.067,1.835,2.050,2.477,2.954,3.311,4.067,10.496,0.450
150,150.400,2.219,1.349,1.835,2.053,2.490,2.960,3.231,4.123,5.280,0.451
160,149.300,2.262,1.279,1.838,2.058,2.521,3.050,3.500,4.547,7.700,0.442
170,152.100,2.272,1.381,1.849,2.062,2.502,3.051,3.623,4.630,6.919,0.440
180,145.100,2.218,1.272,1.844,2.058,2.450,2.905,3.302,4.345,8.936,0.451
190,137.400,2.304,1.218,1.859,2.145,2.581,3.062,3.548,4.440,5.809,0.434
200,152.300,2.173,1.396,1.794,2.021,2.427,2.860,3.241,4.249,5.675,0.460
210,156.400,2.159,1.326,1.807,1.993,2.390,2.908,3.159,3.961,5.787,0.463
220,153.400,2.186,1.338,1.789,2.023,2.427,2.924,3.221,4.190,6.214,0.457
230,152.100,2.155,1.384,1.802,1.991,2.365,2.861,3.227,3.996,6.589,0.464
240,142.000,2.155,1.408,1.788,1.986,2.385,2.861,3.202,4.035,7.635,0.464
250,145.700,2.181,1.319,1.812,2.021,2.397,2.907,3.176,4.201,5.852,0.459
260,149.800,2.173,1.312,1.815,2.000,2.392,2.865,3.183,4.147,6.919,0.460
270,152.900,2.137,1.303,1.779,1.991,2.346,2.805,3.130,4.109,6.778,0.468
280,153.200,2.178,1.335,1.809,1.996,2.424,2.873,3.202,4.329,7.085,0.459
290,162.200,2.160,1.372,1.800,1.982,2.372,2.873,3.227,4.389,7.240,0.463
300,138.900,2.260,1.265,1.859,2.081,2.504,3.034,3.402,4.257,5.997,0.443
310,150.900,2.184,1.385,1.807,1.995,2.416,2.923,3.299,4.216,5.578,0.458
