Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1632.700,3.017,1.536,2.500,2.897,3.392,3.963,4.354,5.208,8.133,0.331
10,1678.300,2.788,1.553,2.285,2.651,3.122,3.695,4.111,5.065,10.901,0.359
20,1759.400,2.681,1.507,2.183,2.540,2.974,3.519,3.893,4.885,28.890,0.373
30,1744.100,2.641,1.582,2.162,2.515,2.953,3.492,3.895,4.750,9.355,0.379
40,1758.900,2.627,1.499,2.149,2.500,2.940,3.475,3.873,4.820,11.702,0.381
50,1536.300,3.188,1.566,2.402,2.871,3.562,4.501,5.527,8.367,39.694,0.314
60,1632.300,2.988,1.627,2.429,2.794,3.282,3.950,4.545,6.304,13.851,0.335
70,1693.800,2.798,1.555,2.293,2.648,3.121,3.730,4.158,5.241,12.084,0.357
80,1705.900,2.735,1.536,2.209,2.561,3.034,3.633,4.151,6.014,12.408,0.366
90,1727.900,2.703,1.528,2.190,2.559,3.014,3.585,4.013,4.989,33.091,0.370
100,1695.100,2.689,1.515,2.196,2.553,3.010,3.567,3.968,4.900,11.635,0.372
110,1608.600,2.829,1.470,2.257,2.653,3.190,3.848,4.326,5.493,14.149,0.354
120,1680.800,2.763,1.555,2.237,2.611,3.104,3.703,4.153,5.223,9.878,0.362
130,1624.700,2.794,1.549,2.252,2.623,3.123,3.764,4.272,5.534,14.412,0.358
140,1727.700,2.669,1.505,2.167,2.527,2.985,3.558,3.983,5.003,18.036,0.375
150,1708.400,2.680,1.525,2.189,2.541,2.993,3.555,3.976,5.005,14.184,0.373
160,1707.100,2.653,1.563,2.172,2.529,2.970,3.515,3.911,4.878,8.239,0.377
170,1720.600,2.681,1.541,2.177,2.535,2.992,3.574,4.017,5.151,18.196,0.373
180,1665.300,2.747,1.540,2.229,2.598,3.080,3.664,4.090,5.189,12.459,0.364
190,1704.000,2.691,1.535,2.182,2.549,2.993,3.573,3.976,4.943,61.937,0.372
200,1683.000,2.752,1.536,2.215,2.583,3.074,3.690,4.170,5.695,11.713,0.363
210,1672.200,2.695,1.567,2.194,2.553,3.007,3.599,4.029,5.098,11.817,0.371
220,1573.100,2.949,1.568,2.284,2.689,3.298,4.126,4.828,7.229,29.462,0.339
230,1390.800,3.619,1.700,2.826,3.316,4.003,5.053,6.096,8.669,15.644,0.276
240,1548.200,3.076,1.641,2.457,2.860,3.396,4.095,4.727,6.518,66.743,0.325
250,1591.800,2.949,1.575,2.363,2.758,3.278,3.975,4.535,6.174,18.230,0.339
260,1650.700,2.872,1.628,2.325,2.706,3.215,3.851,4.324,5.739,11.456,0.348
270,1724.600,2.721,1.512,2.212,2.578,3.055,3.631,4.044,4.993,9.266,0.367
280,1690.100,2.722,1.509,2.219,2.579,3.037,3.611,4.031,5.082,27.523,0.367
290,1693.300,2.730,1.491,2.192,2.559,3.051,3.675,4.178,5.681,11.384,0.366
300,1671.400,2.735,1.533,2.221,2.571,3.054,3.637,4.070,5.163,58.955,0.366
310,1704.700,2.692,1.473,2.197,2.552,3.001,3.556,3.974,4.971,28.717,0.371
320,1722.000,2.670,1.537,2.186,2.537,2.990,3.545,3.953,4.941,11.658,0.375
330,1730.100,2.675,1.528,2.178,2.533,2.978,3.559,4.019,5.152,11.830,0.374
340,1688.600,2.690,1.536,2.188,2.532,2.988,3.564,3.978,5.156,29.761,0.372
350,1633.400,2.804,1.503,2.246,2.623,3.132,3.790,4.309,5.839,18.682,0.357
360,1716.700,2.735,1.542,2.220,2.571,3.049,3.629,4.110,5.620,15.129,0.366
370,1721.700,2.665,1.552,2.188,2.539,2.976,3.539,3.927,4.887,8.501,0.375
380,1624.300,2.961,1.488,2.267,2.680,3.311,4.148,4.810,7.589,23.663,0.338
390,1588.000,3.180,1.554,2.566,2.961,3.493,4.220,4.842,7.240,43.517,0.314
400,1682.700,2.836,1.580,2.294,2.660,3.138,3.743,4.239,5.767,34.630,0.353
410,1594.600,2.922,1.574,2.329,2.717,3.238,3.939,4.550,6.433,15.166,0.342
420,1594.400,2.975,1.600,2.353,2.747,3.311,4.017,4.653,7.046,20.188,0.336
430,1661.400,2.838,1.550,2.298,2.673,3.169,3.771,4.297,5.712,11.947,0.352
440,1652.900,2.809,1.542,2.261,2.638,3.131,3.766,4.242,5.706,12.632,0.356
