Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3808.300,5.247,0.447,2.742,4.366,7.270,9.142,10.991,15.668,21.651,0.191
10,3900.100,5.124,0.446,2.526,4.207,7.144,9.103,11.250,15.693,25.875,0.195
20,4042.300,4.944,0.437,2.418,3.955,6.924,8.832,10.785,15.364,42.354,0.202
30,4061.100,4.922,0.439,2.398,4.017,6.921,8.829,10.545,15.205,23.483,0.203
40,4074.400,4.905,0.418,2.384,3.963,6.866,8.797,10.718,15.418,31.309,0.204
50,3610.000,5.549,0.417,2.689,4.743,7.546,9.961,13.070,16.939,42.322,0.180
60,3826.600,5.215,0.420,2.668,4.468,7.195,9.191,11.276,15.408,22.753,0.192
70,3930.100,5.087,0.444,2.516,4.190,7.100,9.060,10.935,15.655,25.501,0.197
80,3964.400,5.043,0.441,2.441,4.179,7.074,9.015,11.039,15.379,29.644,0.198
90,4010.200,4.986,0.435,2.432,4.054,7.004,8.907,10.680,15.538,37.597,0.201
100,3946.400,5.066,0.439,2.447,4.117,7.102,9.069,11.094,15.824,36.796,0.197
110,3755.500,5.325,0.433,2.523,4.335,7.402,9.613,12.231,17.293,35.996,0.188
120,3865.200,5.173,0.451,2.482,4.134,7.289,9.374,11.559,16.388,25.907,0.193
130,3805.100,5.254,0.438,2.513,4.360,7.331,9.462,11.833,16.349,26.465,0.190
140,4007.000,4.990,0.448,2.411,4.084,7.050,8.950,10.760,15.590,26.763,0.200
150,3962.200,5.046,0.444,2.429,4.087,7.111,9.045,11.111,15.760,22.227,0.198
160,4006.000,4.991,0.426,2.409,4.065,7.052,8.943,10.746,15.638,29.181,0.200
170,3969.000,5.038,0.431,2.415,4.061,7.040,9.089,11.491,16.099,28.911,0.199
180,3874.100,5.162,0.440,2.473,4.151,7.201,9.302,11.891,16.453,39.844,0.194
190,3934.200,5.082,0.425,2.433,4.060,7.115,9.086,11.062,16.159,70.465,0.197
200,3894.600,5.134,0.441,2.461,4.158,7.194,9.235,11.435,16.253,46.746,0.195
210,3896.200,5.131,0.442,2.447,4.133,7.159,9.173,11.230,16.395,47.977,0.195
220,3677.000,5.439,0.458,2.559,4.576,7.539,9.670,11.840,17.346,51.127,0.184
230,3253.800,6.144,0.440,3.139,5.285,8.261,10.926,13.822,18.863,48.709,0.163
240,3615.600,5.531,0.429,2.717,4.595,7.616,9.846,12.306,16.812,84.812,0.181
250,3717.100,5.379,0.417,2.628,4.475,7.517,9.613,11.741,16.717,23.983,0.186
260,3798.500,5.264,0.441,2.565,4.263,7.373,9.408,11.543,16.519,25.227,0.190
270,3971.100,5.035,0.425,2.455,4.073,7.064,9.027,10.886,15.850,23.413,0.199
280,3935.000,5.081,0.446,2.464,4.152,7.107,9.059,11.196,15.888,39.710,0.197
