Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3533,3533.000,504,3241,4780,5655,7696,9442,11266,15779,19376
1,3669,3669.000,476,3050,4639,5450,7442,9331,10989,15814,20967
2,3822,3822.000,470,2820,4260,5229,7208,9000,11338,15401,19688
3,3705,3705.000,497,2855,4513,5386,7403,9287,11599,16015,21136
4,3775,3775.000,454,2705,4297,5299,7344,9338,11760,16084,20029
5,3917,3917.000,472,2671,4060,5099,7067,9033,10574,15430,20266
6,3764,3764.000,474,2676,4609,5296,7364,9221,11229,15768,21234
7,3897,3897.000,467,2609,4258,5134,7171,9063,10459,16026,21651
8,3988,3988.000,447,2523,4070,5017,7055,8853,10411,15161,19192
9,4013,4013.000,462,2508,3987,4969,6968,8790,10425,15240,17679
10,3758,3758.000,471,2634,4489,5336,7341,9383,11946,16239,20318
11,3612,3612.000,489,2749,4411,5536,7814,9867,12202,17455,23656
12,3769,3769.000,487,2579,4425,5284,7333,9484,11384,16216,23087
13,3887,3887.000,463,2555,4211,5147,7171,9058,11182,15694,23078
14,3849,3849.000,473,2573,4468,5186,7129,9165,11893,15371,25875
15,4088,4088.000,446,2449,3892,4895,6866,8626,10559,15017,19727
16,4054,4054.000,453,2428,3966,4921,6911,8662,10574,15376,22040
17,3889,3889.000,479,2518,4266,5144,7243,9177,10865,15579,19075
18,4062,4062.000,449,2423,3876,4919,6952,8651,10740,14886,18942
19,4033,4033.000,456,2424,4109,4948,6994,8799,10506,14948,18857
20,3986,3986.000,455,2400,3994,5025,7054,8948,11521,15521,22633
21,4001,4001.000,482,2455,3865,4978,6970,8943,10683,15599,21660
22,4010,4010.000,463,2472,4059,4991,6976,8893,10772,15245,20709
23,4059,4059.000,437,2426,3843,4914,6871,8940,10772,15138,19995
24,4068,4068.000,468,2449,4082,4920,6872,8692,10274,15070,22177
25,4057,4057.000,449,2392,3907,4922,6984,8772,10475,15550,20653
26,4141,4141.000,460,2389,3917,4831,6721,8518,10478,15232,17966
27,4096,4096.000,456,2384,3791,4872,6931,8676,10819,15274,18677
28,4117,4117.000,440,2402,3931,4860,6868,8774,10304,14890,17884
29,3888,3888.000,452,2391,4058,5137,7003,9139,11955,23655,42354
30,4059,4059.000,442,2396,4025,4921,6947,8845,10346,14852,18484
31,4050,4050.000,461,2382,3963,4948,6926,8953,10874,15635,23483
32,4153,4153.000,474,2358,3841,4804,6837,8519,10096,14866,18719
33,3977,3977.000,455,2438,4194,5024,7090,8977,10832,15522,22007
34,4015,4015.000,448,2403,3967,4968,6960,8856,11062,15533,21384
35,4047,4047.000,455,2420,4022,4950,7001,8931,10591,15082,21987
