Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.500,4354.195,2064.260,2209.566,2696.781,3978.029,10822.338,10822.338,10822.338,10822.338,0.000
10,0.900,1993.829,187.818,561.216,1679.823,2693.956,5448.030,5448.030,5448.030,5448.030,0.001
20,0.700,3587.225,1420.409,1649.246,1705.722,3517.130,13349.991,13349.991,13349.991,13349.991,0.000
30,0.700,2799.564,237.612,533.762,1831.235,2795.169,9908.376,9908.376,9908.376,9908.376,0.000
40,0.800,3109.609,477.318,950.856,2208.338,4101.583,12450.986,12450.986,12450.986,12450.986,0.000
50,0.300,6606.673,3537.451,3537.451,5703.844,10578.725,10578.725,10578.725,10578.725,10578.725,0.000
60,0.100,9992.561,9992.561,9992.561,9992.561,9992.561,9992.561,9992.561,9992.561,9992.561,0.000
70,1.500,1426.855,188.224,575.907,1374.331,1816.884,2604.292,4197.001,4197.001,4197.001,0.001
80,0.700,3298.350,199.151,963.702,2220.249,2700.204,12495.330,12495.330,12495.330,12495.330,0.000
90,0.300,6879.257,4158.474,4158.474,5616.910,10862.387,10862.387,10862.387,10862.387,10862.387,0.000
100,0.700,2201.889,1007.800,1012.417,2205.570,3403.028,3466.309,3466.309,3466.309,3466.309,0.000
110,0.800,2832.895,202.442,1484.853,2337.252,4169.526,8578.428,8578.428,8578.428,8578.428,0.000
120,1.000,2264.956,366.611,1417.091,1670.329,1707.185,8652.866,8652.866,8652.866,8652.866,0.000
130,0.600,3426.109,316.552,1711.998,3360.405,3368.222,9789.732,9789.732,9789.732,9789.732,0.000
140,0.600,3199.482,546.718,639.267,2984.575,4097.419,8691.844,8691.844,8691.844,8691.844,0.000
150,0.800,2115.231,455.793,1898.601,2545.001,3242.722,3386.166,3386.166,3386.166,3386.166,0.000
160,0.500,4865.103,607.464,1023.922,1886.879,10348.025,10459.227,10459.227,10459.227,10459.227,0.000
170,0.500,2580.045,1028.581,2104.605,2692.977,3345.413,3728.649,3728.649,3728.649,3728.649,0.000
180,1.100,1986.377,428.752,533.780,1699.023,3266.377,3312.443,3437.508,3437.508,3437.508,0.001
