Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,2791829,2791829,2791829,2791829,2791829,2791829,2791829,2791829,2791829
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,2.000,2028262,2028262,8530806,5279534,8530806,8530806,8530806,8530806,8530806
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,1.000,1796433,1796433,1796433,1796433,1796433,1796433,1796433,1796433,1796433
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,1.000,1629254,1629254,1629254,1629254,1629254,1629254,1629254,1629254,1629254
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,1.000,986897,986897,986897,986897,986897,986897,986897,986897,986897
9,1,1.000,1743078,1743078,1743078,1743078,1743078,1743078,1743078,1743078,1743078
10,1,1.000,5479633,5479633,5479633,5479633,5479633,5479633,5479633,5479633,5479633
11,1,1.000,10298435,10298435,10298435,10298435,10298435,10298435,10298435,10298435,10298435
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,1.000,10107928,10107928,10107928,10107928,10107928,10107928,10107928,10107928,10107928
17,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,2,2.000,186260,186260,1710536,948398,1710536,1710536,1710536,1710536,1710536
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,1,1.000,8672227,8672227,8672227,8672227,8672227,8672227,8672227,8672227,8672227
24,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,2,2.000,234021,234021,1573808,903914,1573808,1573808,1573808,1573808,1573808
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,1,1.000,2005697,2005697,2005697,2005697,2005697,2005697,2005697,2005697,2005697
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,1,1.000,4690991,4690991,4690991,4690991,4690991,4690991,4690991,4690991,4690991
31,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,1,1.000,2301573,2301573,2301573,2301573,2301573,2301573,2301573,2301573,2301573
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,1,1.000,578132,578132,578132,578132,578132,578132,578132,578132,578132
35,2,2.000,2629918,2629918,8550085,5590001,8550085,8550085,8550085,8550085,8550085
36,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1,1.000,1387610,1387610,1387610,1387610,1387610,1387610,1387610,1387610,1387610
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,2,2.000,638357,638357,2421723,1530040,2421723,2421723,2421723,2421723,2421723
40,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,1,1.000,1720744,1720744,1720744,1720744,1720744,1720744,1720744,1720744,1720744
43,2,2.000,2635051,2635051,3462149,3048600,3462149,3462149,3462149,3462149,3462149
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,1,1.000,1612163,1612163,1612163,1612163,1612163,1612163,1612163,1612163,1612163
47,1,1.000,13455543,13455543,13455543,13455543,13455543,13455543,13455543,13455543,13455543
48,1,1.000,4186964,4186964,4186964,4186964,4186964,4186964,4186964,4186964,4186964
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,1,1.000,3671469,3671469,3671469,3671469,3671469,3671469,3671469,3671469,3671469
53,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,1,1.000,1733705,1733705,1733705,1733705,1733705,1733705,1733705,1733705,1733705
56,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,1,1.000,548652,548652,548652,548652,548652,548652,548652,548652,548652
58,1,1.000,4179650,4179650,4179650,4179650,4179650,4179650,4179650,4179650,4179650
59,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,1,1.000,1489452,1489452,1489452,1489452,1489452,1489452,1489452,1489452,1489452
61,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,3,3.000,184924,184924,3731314,2708045,4207898,4207898,4207898,4207898,4207898
63,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,1,1.000,1527334,1527334,1527334,1527334,1527334,1527334,1527334,1527334,1527334
66,1,1.000,5436688,5436688,5436688,5436688,5436688,5436688,5436688,5436688,5436688
67,1,1.000,1770627,1770627,1770627,1770627,1770627,1770627,1770627,1770627,1770627
68,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,1,1.000,1025159,1025159,1025159,1025159,1025159,1025159,1025159,1025159,1025159
70,1,1.000,1672538,1672538,1672538,1672538,1672538,1672538,1672538,1672538,1672538
71,1,1.000,1764411,1764411,1764411,1764411,1764411,1764411,1764411,1764411,1764411
72,1,1.000,1578926,1578926,1578926,1578926,1578926,1578926,1578926,1578926,1578926
73,2,2.000,932889,932889,1188021,1060455,1188021,1188021,1188021,1188021,1188021
74,3,3.000,177253,177253,9316144,6913622,11247471,11247471,11247471,11247471,11247471
75,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,1,1.000,3270912,3270912,3270912,3270912,3270912,3270912,3270912,3270912,3270912
85,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,1,1.000,13593679,13593679,13593679,13593679,13593679,13593679,13593679,13593679,13593679
87,1,1.000,4063149,4063149,4063149,4063149,4063149,4063149,4063149,4063149,4063149
88,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,1,1.000,5375996,5375996,5375996,5375996,5375996,5375996,5375996,5375996,5375996
92,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,1,1.000,2364943,2364943,2364943,2364943,2364943,2364943,2364943,2364943,2364943
97,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,3,3.000,214254,214254,9907787,6773276,10197789,10197789,10197789,10197789,10197789
100,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,3,3.000,172685,172685,559991,3599017,10064376,10064376,10064376,10064376,10064376
110,1,1.000,10078277,10078277,10078277,10078277,10078277,10078277,10078277,10078277,10078277
111,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
119,1,1.000,5364218,5364218,5364218,5364218,5364218,5364218,5364218,5364218,5364218
120,1,1.000,1639095,1639095,1639095,1639095,1639095,1639095,1639095,1639095,1639095
121,1,1.000,513755,513755,513755,513755,513755,513755,513755,513755,513755
122,1,1.000,558883,558883,558883,558883,558883,558883,558883,558883,558883
123,3,3.000,176527,176527,550869,429925,562381,562381,562381,562381,562381
124,1,1.000,3826760,3826760,3826760,3826760,3826760,3826760,3826760,3826760,3826760
125,2,2.000,543530,543530,590920,567225,590920,590920,590920,590920,590920
126,1,1.000,2257690,2257690,2257690,2257690,2257690,2257690,2257690,2257690,2257690
127,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,3,3.000,281937,281937,3173935,2329706,3533246,3533246,3533246,3533246,3533246
129,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,2,2.000,3308649,3308649,5718796,4513722,5718796,5718796,5718796,5718796,5718796
132,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,3,3.000,286228,286228,286523,680425,1468525,1468525,1468525,1468525,1468525
136,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,2,2.000,1702354,1702354,15093105,8397729,15093105,15093105,15093105,15093105,15093105
138,1,1.000,14557922,14557922,14557922,14557922,14557922,14557922,14557922,14557922,14557922
139,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,1,1.000,558240,558240,558240,558240,558240,558240,558240,558240,558240
153,2,2.000,1735085,1735085,8306364,5020724,8306364,8306364,8306364,8306364,8306364
154,1,1.000,10027423,10027423,10027423,10027423,10027423,10027423,10027423,10027423,10027423
155,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
161,1,1.000,8610362,8610362,8610362,8610362,8610362,8610362,8610362,8610362,8610362
162,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,1,1.000,2367554,2367554,2367554,2367554,2367554,2367554,2367554,2367554,2367554
165,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,2,2.000,535617,535617,1336022,935819,1336022,1336022,1336022,1336022,1336022
168,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,1,1.000,3454387,3454387,3454387,3454387,3454387,3454387,3454387,3454387,3454387
170,1,1.000,13970402,13970402,13970402,13970402,13970402,13970402,13970402,13970402,13970402
171,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,1,1.000,2344500,2344500,2344500,2344500,2344500,2344500,2344500,2344500,2344500
173,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,1,1.000,550324,550324,550324,550324,550324,550324,550324,550324,550324
