Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.900,3652.768,569.351,1814.049,3049.310,3629.264,11324.826,11324.826,11324.826,11324.826,0.000
10,0.400,4608.134,310.666,631.054,5850.480,11640.337,11640.337,11640.337,11640.337,11640.337,0.000
20,0.100,11347.688,11347.688,11347.688,11347.688,11347.688,11347.688,11347.688,11347.688,11347.688,0.000
30,0.900,3242.651,196.728,1109.913,1983.251,3564.155,13371.688,13371.688,13371.688,13371.688,0.000
40,0.200,7678.408,4457.823,4457.823,10898.992,10898.992,10898.992,10898.992,10898.992,10898.992,0.000
50,0.800,3301.440,305.003,1097.135,2346.288,4433.008,12765.738,12765.738,12765.738,12765.738,0.000
60,0.100,10128.461,10128.461,10128.461,10128.461,10128.461,10128.461,10128.461,10128.461,10128.461,0.000
70,0.600,4143.072,931.805,1811.626,2134.678,5507.631,12571.670,12571.670,12571.670,12571.670,0.000
80,0.700,2932.421,435.369,793.065,1863.463,3556.486,10819.273,10819.273,10819.273,10819.273,0.000
90,0.600,3582.125,184.988,1699.889,3412.304,3558.521,10851.706,10851.706,10851.706,10851.706,0.000
100,0.400,2682.929,559.824,1731.988,2775.188,5664.715,5664.715,5664.715,5664.715,5664.715,0.000
110,1.300,1748.528,184.361,584.091,1711.036,2359.001,3446.709,3739.094,3739.094,3739.094,0.001
120,0.500,4670.745,192.556,351.081,1761.012,9201.577,11847.501,11847.501,11847.501,11847.501,0.000
130,0.400,5994.203,3028.966,3717.143,5997.376,11233.326,11233.326,11233.326,11233.326,11233.326,0.000
140,0.300,3509.447,1657.389,1657.389,3015.517,5855.434,5855.434,5855.434,5855.434,5855.434,0.000
150,0.800,5008.491,584.161,1991.485,3642.291,11936.954,14570.072,14570.072,14570.072,14570.072,0.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.400,5283.976,2276.258,2391.848,5416.840,11050.957,11050.957,11050.957,11050.957,11050.957,0.000
180,0.900,2127.777,227.188,938.894,1095.968,2669.451,8695.727,8695.727,8695.727,8695.727,0.000
190,0.900,3323.450,184.679,588.538,683.255,2299.828,12393.883,12393.883,12393.883,12393.883,0.000
200,0.400,2766.542,1549.057,1724.637,2329.309,5463.164,5463.164,5463.164,5463.164,5463.164,0.000
210,0.500,3623.135,1039.085,1331.379,1752.364,3515.682,10477.163,10477.163,10477.163,10477.163,0.000
220,0.800,2704.519,1339.716,1732.151,1861.500,4326.144,5616.884,5616.884,5616.884,5616.884,0.000
230,0.700,3055.126,368.423,615.190,1822.907,4307.118,10480.836,10480.836,10480.836,10480.836,0.000
240,0.300,8461.777,1570.883,1570.883,11212.763,12601.685,12601.685,12601.685,12601.685,12601.685,0.000
250,0.800,1725.763,588.716,1226.152,1898.423,2439.241,2954.332,2954.332,2954.332,2954.332,0.001
260,0.400,8646.267,1767.384,2839.919,14619.391,15358.374,15358.374,15358.374,15358.374,15358.374,0.000
270,0.300,2820.083,199.374,199.374,2790.809,5470.065,5470.065,5470.065,5470.065,5470.065,0.000
280,0.400,3598.870,1871.699,3444.951,3519.296,5559.532,5559.532,5559.532,5559.532,5559.532,0.000
290,0.400,5564.431,1782.658,4040.661,5543.772,10890.632,10890.632,10890.632,10890.632,10890.632,0.000
300,0.900,2506.770,193.251,1805.944,2314.255,2792.955,5451.391,5451.391,5451.391,5451.391,0.000
310,0.600,4712.474,192.185,1042.256,2362.388,10653.314,12564.040,12564.040,12564.040,12564.040,0.000
320,0.400,2401.564,460.446,1834.455,2797.756,4513.598,4513.598,4513.598,4513.598,4513.598,0.000
330,0.600,4739.232,1038.327,1806.847,3701.339,5696.061,12741.698,12741.698,12741.698,12741.698,0.000
340,0.400,2137.779,1146.069,1705.398,1804.269,3895.379,3895.379,3895.379,3895.379,3895.379,0.000
350,0.500,3999.717,1808.281,1853.525,2158.589,3785.303,10392.886,10392.886,10392.886,10392.886,0.000
360,1.800,1167.097,184.392,565.676,641.779,1637.321,2778.101,3650.758,3650.758,3650.758,0.001
370,0.500,4657.508,1822.807,2431.276,3213.205,3258.918,12561.336,12561.336,12561.336,12561.336,0.000
380,0.400,5277.695,1803.578,2837.954,3860.659,12608.590,12608.590,12608.590,12608.590,12608.590,0.000
390,0.500,3201.269,1974.132,2057.009,2816.402,3646.075,5512.726,5512.726,5512.726,5512.726,0.000
400,1.000,1887.874,187.863,1462.798,2310.170,2747.471,2842.644,2842.644,2842.644,2842.644,0.001
410,0.600,3969.245,1677.233,2007.771,2374.592,2927.123,12730.492,12730.492,12730.492,12730.492,0.000
420,1.000,1762.883,238.088,439.399,1939.252,2937.490,3738.760,3738.760,3738.760,3738.760,0.001
430,0.500,3837.181,625.028,1669.507,3108.160,3435.101,10348.109,10348.109,10348.109,10348.109,0.000
440,0.900,3483.256,589.116,1570.561,2773.917,3587.438,12254.293,12254.293,12254.293,12254.293,0.000
450,0.300,4718.318,1755.078,1755.078,1796.890,10602.986,10602.986,10602.986,10602.986,10602.986,0.000
460,0.300,9510.906,5491.457,5491.457,10560.247,12481.015,12481.015,12481.015,12481.015,12481.015,0.000
470,0.300,2631.949,1091.281,1091.281,1150.347,5654.219,5654.219,5654.219,5654.219,5654.219,0.000
480,0.900,2959.398,185.176,560.092,1209.432,2669.109,13439.823,13439.823,13439.823,13439.823,0.000
490,0.300,5838.509,1425.555,1425.555,5064.896,11025.077,11025.077,11025.077,11025.077,11025.077,0.000
500,0.400,3559.424,2336.408,3552.858,3910.627,4437.802,4437.802,4437.802,4437.802,4437.802,0.000
510,0.800,2324.644,554.329,1551.661,1853.386,3472.685,5738.233,5738.233,5738.233,5738.233,0.000
520,0.500,3935.944,2281.770,2289.103,2377.370,2451.660,10279.819,10279.819,10279.819,10279.819,0.000
530,0.800,2947.077,777.504,1782.396,3657.817,4286.042,5561.044,5561.044,5561.044,5561.044,0.000
540,0.700,2362.131,594.527,767.571,2794.839,3376.202,4345.830,4345.830,4345.830,4345.830,0.000
550,0.700,3042.425,619.573,747.717,1840.509,5595.101,8384.178,8384.178,8384.178,8384.178,0.000
