Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.400,6655.460,2526.430,4947.441,8793.595,10354.374,10354.374,10354.374,10354.374,10354.374,0.000
10,0.400,4182.618,1423.708,2230.681,2733.532,10342.552,10342.552,10342.552,10342.552,10342.552,0.000
20,0.800,2047.071,560.095,1865.190,1928.702,3044.453,3507.425,3507.425,3507.425,3507.425,0.000
30,0.500,4363.505,305.857,544.585,1721.194,8720.340,10525.548,10525.548,10525.548,10525.548,0.000
40,0.900,1906.589,545.588,1113.103,1711.575,1833.836,4264.578,4264.578,4264.578,4264.578,0.001
50,1.100,1933.658,323.560,577.613,1709.818,1942.082,4128.194,5248.947,5248.947,5248.947,0.001
60,0.600,5014.996,1457.226,1628.677,3515.029,9286.917,12475.063,12475.063,12475.063,12475.063,0.000
70,0.400,4410.393,983.127,1307.499,3399.974,11950.971,11950.971,11950.971,11950.971,11950.971,0.000
80,0.300,3795.990,1817.946,1817.946,4208.564,5361.459,5361.459,5361.459,5361.459,5361.459,0.000
90,0.700,3215.179,245.055,549.789,1755.056,4108.408,12113.714,12113.714,12113.714,12113.714,0.000
100,0.600,3328.113,1590.839,1808.276,2433.215,2550.353,9298.622,9298.622,9298.622,9298.622,0.000
110,0.700,4639.383,391.393,547.856,1822.453,13365.204,13455.124,13455.124,13455.124,13455.124,0.000
120,0.300,1005.876,183.361,183.361,761.625,2072.642,2072.642,2072.642,2072.642,2072.642,0.001
130,0.600,5291.994,417.242,1839.731,4277.333,8539.932,12425.693,12425.693,12425.693,12425.693,0.000
140,0.400,2445.496,1311.286,1828.865,2331.630,4310.202,4310.202,4310.202,4310.202,4310.202,0.000
150,1.000,2908.862,575.495,1153.305,1780.008,2216.810,12934.557,12934.557,12934.557,12934.557,0.000
160,0.300,5273.092,1853.194,1853.194,2184.048,11782.035,11782.035,11782.035,11782.035,11782.035,0.000
170,0.400,4339.109,613.272,2238.273,4114.986,10389.905,10389.905,10389.905,10389.905,10389.905,0.000
180,0.500,4051.961,302.130,1640.215,2353.823,3681.115,12282.523,12282.523,12282.523,12282.523,0.000
