Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,3921068,3921068,3921068,3921068,3921068,3921068,3921068,3921068,3921068
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2,2.000,1113395,1113395,3080966,2097180,3080966,3080966,3080966,3080966,3080966
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,1.000,1758910,1758910,1758910,1758910,1758910,1758910,1758910,1758910,1758910
6,1,1.000,9905394,9905394,9905394,9905394,9905394,9905394,9905394,9905394,9905394
7,1,1.000,3935200,3935200,3935200,3935200,3935200,3935200,3935200,3935200,3935200
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,1.000,1077309,1077309,1077309,1077309,1077309,1077309,1077309,1077309,1077309
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,1.000,3292082,3292082,3292082,3292082,3292082,3292082,3292082,3292082,3292082
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,2,2.000,604451,604451,3530715,2067583,3530715,3530715,3530715,3530715,3530715
16,1,1.000,9512021,9512021,9512021,9512021,9512021,9512021,9512021,9512021,9512021
17,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,2,2.000,224752,224752,11595938,5910345,11595938,11595938,11595938,11595938,11595938
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,2,2.000,787500,787500,13562278,7174889,13562278,13562278,13562278,13562278,13562278
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,1,1.000,12954168,12954168,12954168,12954168,12954168,12954168,12954168,12954168,12954168
32,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,1,1.000,1221631,1221631,1221631,1221631,1221631,1221631,1221631,1221631,1221631
41,1,1.000,9539634,9539634,9539634,9539634,9539634,9539634,9539634,9539634,9539634
42,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,2,2.000,634045,634045,12205610,6419827,12205610,12205610,12205610,12205610,12205610
45,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,1,1.000,5208396,5208396,5208396,5208396,5208396,5208396,5208396,5208396,5208396
52,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,1,1.000,3307569,3307569,3307569,3307569,3307569,3307569,3307569,3307569,3307569
57,1,1.000,11219369,11219369,11219369,11219369,11219369,11219369,11219369,11219369,11219369
58,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,1,1.000,9760570,9760570,9760570,9760570,9760570,9760570,9760570,9760570,9760570
60,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,1,1.000,10704037,10704037,10704037,10704037,10704037,10704037,10704037,10704037,10704037
69,1,1.000,1381785,1381785,1381785,1381785,1381785,1381785,1381785,1381785,1381785
