Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.600,4566.309,224.383,233.500,3621.406,9015.734,12498.304,12498.304,12498.304,12498.304,0.000
10,0.600,2112.538,843.065,949.951,2233.005,3276.083,3579.967,3579.967,3579.967,3579.967,0.000
20,0.500,6257.209,184.746,216.674,5508.486,12525.347,12850.791,12850.791,12850.791,12850.791,0.000
30,0.300,6394.661,326.263,326.263,8641.720,10215.999,10215.999,10215.999,10215.999,10215.999,0.000
40,0.300,6528.239,3503.045,3503.045,5507.286,10574.385,10574.385,10574.385,10574.385,10574.385,0.000
50,0.500,2392.706,187.923,1553.608,2285.865,2367.348,5568.787,5568.787,5568.787,5568.787,0.000
60,1.100,2600.609,187.547,315.657,1477.659,3620.874,4417.543,12224.583,12224.583,12224.583,0.000
70,0.500,2308.094,606.108,807.462,2453.804,3222.336,4450.758,4450.758,4450.758,4450.758,0.000
80,0.500,5358.751,180.320,2330.470,3696.721,10210.820,10375.426,10375.426,10375.426,10375.426,0.000
90,0.500,2980.155,183.306,1929.366,2197.704,5229.110,5361.289,5361.289,5361.289,5361.289,0.000
100,0.400,4986.767,318.526,1300.810,8462.887,9864.843,9864.843,9864.843,9864.843,9864.843,0.000
110,0.200,10627.622,9410.609,9410.609,11844.634,11844.634,11844.634,11844.634,11844.634,11844.634,0.000
120,0.500,5239.532,228.717,3358.544,3839.758,8786.899,9983.744,9983.744,9983.744,9983.744,0.000
130,0.400,3920.171,234.860,559.330,2606.937,12279.557,12279.557,12279.557,12279.557,12279.557,0.000
140,0.600,2512.978,178.357,2017.178,3344.073,3363.075,4123.251,4123.251,4123.251,4123.251,0.000
150,0.800,3247.820,183.831,1509.514,3455.022,3729.023,8969.085,8969.085,8969.085,8969.085,0.000
160,0.800,2054.453,237.171,1078.324,2298.192,3373.805,4027.436,4027.436,4027.436,4027.436,0.000
170,0.400,4184.785,556.718,591.175,5445.161,10146.084,10146.084,10146.084,10146.084,10146.084,0.000
180,1.000,1906.256,588.152,1264.380,2231.225,2657.056,3091.838,3091.838,3091.838,3091.838,0.001
190,0.600,4096.948,1261.114,3225.537,3513.510,3769.777,9394.743,9394.743,9394.743,9394.743,0.000
200,0.200,12515.867,11870.758,11870.758,13160.975,13160.975,13160.975,13160.975,13160.975,13160.975,0.000
210,0.400,4348.409,562.989,2445.203,5372.605,9012.840,9012.840,9012.840,9012.840,9012.840,0.000
